"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPD5",3.2296212972474e-06,-0.456328463344666,0.033,0.109,0.0576551993984606
"ACT7",3.26124238684648e-06,-0.428038931136412,0.043,0.128,0.0582196990899833
"ROC5",3.49844110597507e-06,-0.304861914352184,0.045,0.13,0.0624541706238669
"AT2G31610",3.83235287000784e-06,-0.621563305187863,0.034,0.111,0.0684151634353799
"AT5G14910",3.87008820731078e-06,-0.547470918729282,0.034,0.111,0.069088814676912
"PMDH1",4.31560776944698e-06,-0.696267672219774,0.031,0.104,0.0770422299001674
"AT3G52960",4.32264489627317e-06,-0.523963929389052,0.055,0.147,0.0771678566882686
"CA1",4.65999786663881e-06,2.83039845720625,0.111,0.035,0.083190281915236
"AT1G26850",4.70556910617758e-06,-0.418302552047351,0.041,0.123,0.0840038196834821
"AT4G17560",4.83712653041176e-06,-0.310502433156746,0.036,0.113,0.0863523828209108
"AT5G59850",5.77213557906765e-06,-0.548151112342406,0.034,0.109,0.103044164357516
"PREP1",8.6913258159281e-06,-0.603090349818827,0.038,0.113,0.155157548465949
"TIC110",9.54462039188212e-06,-0.431391727028243,0.038,0.113,0.17039056323588
"AT2G17240",9.70161163783139e-06,-0.469597856888617,0.033,0.104,0.173193170958566
"AT1G26880",1.18589449191805e-05,-0.332042747700938,0.034,0.106,0.21170588469721
"AT1G70780",1.70822125534402e-05,-0.280336888318647,0.033,0.102,0.304951658504014
"FLU",1.73842293903363e-05,-0.289257903371914,0.046,0.125,0.310343263076283
"GRF3.1",1.83169009603029e-05,-0.260353144102688,0.055,0.139,0.326993315943328
"AT3G53430",2.53465096402051e-05,-0.323151700850098,0.051,0.132,0.452485890096942
"emb2726",2.68333013805137e-05,-0.36074458755303,0.046,0.123,0.47902809624493
"RPS6",2.71368618062955e-05,-0.523382159565739,0.048,0.125,0.484447256965987
"BBX14",3.2394160954397e-05,-0.353546562506805,0.034,0.102,0.578300561357896
"PTAC7",3.52433948230841e-05,-0.453226692762101,0.036,0.104,0.629165084381698
"AT1G67280",3.87245771618169e-05,-0.370299236590059,0.045,0.118,0.691311151492755
"PGY1",8.05043890661256e-05,-0.284719653113432,0.048,0.121,1
"RHON1",8.24071875980276e-05,-0.392155838295181,0.041,0.109,1
"RBP45B",9.35233458820732e-05,-0.368217895999598,0.043,0.111,1
"PFL",0.000100771392525471,-0.417895971756476,0.038,0.102,1
"AT3G09860",0.000108299500593473,-0.346791368085511,0.038,0.102,1
"PSBP-1",0.000140154348524384,0.262851744011166,0.214,0.395,1
"GRP3S",0.000146910652810977,2.36695372268282,0.149,0.08,1
"EDA3",0.000156306790467855,0.402377987244225,0.057,0.132,1
"AVP1",0.000265609149519279,0.371176058889675,0.159,0.296,1
"CLPB3",0.000387069423188061,0.252496659950675,0.074,0.154,1
"PSBX",0.000441807210120454,0.321390518419723,0.187,0.336,1
"GAPB",0.000449684781759286,0.293685246793248,0.159,0.291,1
"PSAD-1",0.000500973965045048,0.410385379314353,0.142,0.262,1
"AT5G19940",0.000505459826593212,0.28508661102928,0.11,0.21,1
"LHCB6",0.000751642845624311,0.270812512132956,0.248,0.435,1
"GLU1",0.00161702161052756,0.264753097572854,0.046,0.102,1
"GSTU19",0.00174426349072482,0.420349261767063,0.195,0.333,1
"GAPA",0.0017499411551208,0.322952627821185,0.128,0.227,1
"HSP21",0.00257680425937763,0.265740384982096,0.108,0.194,1
"FED A",0.00288148512319582,0.405396519445077,0.175,0.296,1
"SKP1",0.00382850322541169,0.383751595682918,0.05,0.102,1
"HEMC",0.00412410269047522,0.49387048168317,0.092,0.168,1
"AT1G32470",0.00426564549389649,0.330961494256123,0.094,0.168,1
"AT2G45180",0.00445166331569018,1.5834561327833,0.231,0.196,1
"PSBW",0.00463765829012201,0.406048482051646,0.18,0.303,1
"LHB1B2",0.00472771990313851,0.989819158527456,0.437,0.506,1
"FNR1",0.00631176110565946,0.467221183415348,0.146,0.243,1
"PTAC17",0.00910006387073373,0.40060334728455,0.053,0.102,1
"PETC",0.00991745010490646,0.587907133145623,0.12,0.201,1
"AT2G37220",0.0139706238444929,0.31554430742271,0.182,0.286,1
"RPS9",0.0140503801355389,0.505643411725651,0.087,0.149,1
"AILP1",0.0146062768186052,0.32940635667142,0.115,0.187,1
"PSAF",0.0186770958987378,0.414622090457947,0.252,0.4,1
"ERD15",0.019229401378276,0.517330350568479,0.07,0.121,1
"LHCB5",0.0198265251512111,0.420783777997384,0.19,0.298,1
"PSBR",0.0205773324298126,0.338294692635639,0.286,0.456,1
"AT1G78040",0.0252945484349188,0.547478442565853,0.075,0.125,1
"TROL",0.0296076168275376,0.703265839975465,0.074,0.123,1
"PGK1",0.0354858090392522,0.517683860688263,0.12,0.187,1
"CA2",0.0395669492609008,0.531254701951838,0.092,0.147,1
"NPQ4",0.0505667597940408,0.438090953331276,0.111,0.17,1
"RD21A",0.0577079220420357,0.575169782427816,0.087,0.135,1
"GAPA-2",0.0578859029993185,0.588122171767379,0.074,0.116,1
"AT2G10940",0.0599819142035199,1.19029561717355,0.308,0.333,1
"HDS",0.0603107100937208,0.718730033842811,0.072,0.113,1
"PSAD-2",0.0787361122103655,0.625694578112903,0.089,0.135,1
"PSBQ-2",0.0905477833199116,1.49374446040284,0.151,0.13,1
"LHCB3",0.0995223600746971,0.897389571891353,0.375,0.452,1
"CAB3",0.105178627528196,0.474011446034502,0.293,0.433,1
"PSAL",0.118911148135063,1.14558577871655,0.281,0.307,1
"CRT1b",0.191684040836259,0.969387822974304,0.08,0.113,1
"PSBQA",0.191785556998962,0.651730433604482,0.142,0.196,1
"PSAH2",0.191955523461314,0.859383793849536,0.132,0.184,1
"PSAE-2",0.19557053696052,0.66626760628712,0.11,0.151,1
"AT1G29470",0.208356118724818,0.645950085457962,0.082,0.113,1
"PSAO",0.215421452639434,1.16171366232497,0.236,0.255,1
"LHB1B1",0.219349333513823,1.41756190618878,0.147,0.137,1
"CAB2",0.222373174263263,0.588711840090542,0.253,0.362,1
"LHCB4.1",0.242615505468823,0.679403593245455,0.281,0.414,1
"GUN5",0.253151243480703,0.789437461836129,0.122,0.163,1
"LHCB4.2",0.295446541406453,0.939448012535773,0.101,0.135,1
"PSI-P",0.2971623483614,0.790248717385339,0.127,0.168,1
"RBCS3B",0.318410419899497,0.332332122493708,0.432,0.61,1
"FNR2",0.320522344236197,0.956835227800632,0.103,0.135,1
"AT3G06355",0.330094675946175,0.629941170123995,0.094,0.123,1
"LHCB2.2",0.353641958693089,0.644213723826294,0.163,0.213,1
"LHCA1",0.367073222067371,0.397615642812393,0.351,0.489,1
"GS2",0.367815955082492,0.812605350246375,0.108,0.139,1
"DRT112",0.376267142334641,0.674903444432339,0.211,0.284,1
"SHD",0.396411132026591,0.811865595216751,0.118,0.151,1
"PSAH-1",0.406675596483556,0.921457443118142,0.111,0.142,1
"GER1",0.408961307916647,1.11186459649798,0.2,0.213,1
"PYK10",0.410772743274005,1.06953203114462,0.132,0.125,1
"PSBTN",0.449631089662686,0.849776505682776,0.139,0.177,1
"PSAN",0.487196468156511,0.878490245669055,0.183,0.239,1
"THI1",0.498301261897415,1.04597900136475,0.123,0.156,1
"TIP2",0.515726299176793,1.10704568681349,0.171,0.18,1
"PIP1B",0.548667774470355,0.885136822001439,0.089,0.109,1
"LHCA2",0.560031518472316,0.930096734183987,0.212,0.281,1
"GER3",0.565475885224261,0.587743701242324,0.353,0.501,1
"GGT1",0.592395328161675,0.924860821097238,0.113,0.137,1
"CRT1a",0.639813038140443,0.990034675520893,0.087,0.104,1
"PSAG",0.661163715422409,0.978550267705465,0.197,0.22,1
"LTP2",0.695682823476886,0.538040033913134,0.132,0.151,1
"ELP",0.746716663502883,1.15468209580173,0.125,0.149,1
"PSAK",0.766247071202375,0.883286673955107,0.228,0.267,1
"LHCB2.1",0.771832638207588,1.08410730032988,0.149,0.161,1
"PSAE-1",0.781648779621273,0.87652455963972,0.226,0.291,1
"RCA",0.784234052441289,0.887848530117217,0.26,0.319,1
"LHCA3",0.905816635150051,0.986726429961135,0.207,0.246,1
"CAT3",0.923495558481438,1.13195275949013,0.111,0.121,1
