"gene","MoransI_observed","MoransI_p.value","MoransI_p.adj"
"AT1G03520",NA,NA,NA
"NAF1",NA,NA,NA
"SCAMP4",NA,NA,NA
"AT1G03545",NA,NA,NA
"AT1G03560",NA,NA,NA
"AT1G03590",NA,NA,NA
"PSB27",NA,NA,NA
"AT1G03610",NA,NA,NA
"AT1G03620",NA,NA,NA
"POR C",NA,NA,NA
"AT1G03650",NA,NA,NA
"AT1G03660",NA,NA,NA
"THM1",NA,NA,NA
"AT1G03687",NA,NA,NA
"AT1G03730",NA,NA,NA
"AT1G03740",NA,NA,NA
"SWI2",NA,NA,NA
"AT1G03760",NA,NA,NA
"RING1B",NA,NA,NA
"TPX2",NA,NA,NA
"AT1G03830",NA,NA,NA
"MGP",NA,NA,NA
"PHB2",NA,NA,NA
"FLA9",NA,NA,NA
"ABCI18",NA,NA,NA
"ABCI19",NA,NA,NA
"AT1G03910",NA,NA,NA
"ADK1",NA,NA,NA
"AT1G03940",NA,NA,NA
"VPS2.3",NA,NA,NA
"AT1G03960",NA,NA,NA
"GBF4",NA,NA,NA
"AT1G04000",NA,NA,NA
"PSAT1",NA,NA,NA
"BARD1",NA,NA,NA
"AT1G04030",NA,NA,NA
"AT1G04040",NA,NA,NA
"SUVR1",NA,NA,NA
"TOM22-I",NA,NA,NA
"PRP39",NA,NA,NA
"AT1G04090",NA,NA,NA
"IAA10",NA,NA,NA
"SDD1",NA,NA,NA
"ABCC5",NA,NA,NA
"TPR2",NA,NA,NA
"AT1G04140",NA,NA,NA
"AT1G04150",NA,NA,NA
"XIB",NA,NA,NA
"EIF2 GAMMA",NA,NA,NA
"YUC9",NA,NA,NA
"TPR3",NA,NA,NA
"AT1G04200",NA,NA,NA
"AT1G04210",NA,NA,NA
"KCS2",NA,NA,NA
"AT1G04230",NA,NA,NA
"SHY2",NA,NA,NA
"AXR3",NA,NA,NA
"MPI7",NA,NA,NA
"RPS15",NA,NA,NA
"AT1G04280",NA,NA,NA
"AT1G04290",NA,NA,NA
"AT1G04300",NA,NA,NA
"ERS2",NA,NA,NA
"AT1G04340",NA,NA,NA
"AT1G04350",NA,NA,NA
"AT1G04360",NA,NA,NA
"AT1G04390",NA,NA,NA
"CRY2",NA,NA,NA
"c-NAD-MDH1",NA,NA,NA
"AT1G04420",NA,NA,NA
"AT1G04430",NA,NA,NA
"CKL13",NA,NA,NA
"AT1G04480",NA,NA,NA
"MAC3A",NA,NA,NA
"PDLP2",NA,NA,NA
"TPR4",NA,NA,NA
"IAA12",NA,NA,NA
"AT1G04555",NA,NA,NA
"AT1G04570",NA,NA,NA
"AT1G04590",NA,NA,NA
"XIA",NA,NA,NA
"YUC3",NA,NA,NA
"HCAR",NA,NA,NA
"AT1G04625",NA,NA,NA
"MEE4",NA,NA,NA
"EMB1687",NA,NA,NA
"LIP2",NA,NA,NA
"AT1G04650",NA,NA,NA
"AT1G04680",NA,NA,NA
"KAB1",NA,NA,NA
"AT1G04700",NA,NA,NA
"PKT4",NA,NA,NA
"CTF18",NA,NA,NA
"VAMP721",NA,NA,NA
"AT1G04770",NA,NA,NA
"AT1G04780",NA,NA,NA
"AT1G04790",NA,NA,NA
"AT1G04800",NA,NA,NA
"AT1G04810",NA,NA,NA
"TUA4",NA,NA,NA
"AT1G04830",NA,NA,NA
"AT1G04840",NA,NA,NA
"AT1G04850",NA,NA,NA
"UBP2",NA,NA,NA
"PRMT10",NA,NA,NA
"AT1G04900",NA,NA,NA
"AT1G04910",NA,NA,NA
"AT1G04930",NA,NA,NA
"AT1G04945",NA,NA,NA
"Tic20-I",NA,NA,NA
"TAFII59",NA,NA,NA
"AT1G04960",NA,NA,NA
"AT1G04970",NA,NA,NA
"PDIL2-2",NA,NA,NA
"AT1G04985",NA,NA,NA
"AT1G04990",NA,NA,NA
"PFA-DSP1",NA,NA,NA
"EFE",NA,NA,NA
"AT1G05030",NA,NA,NA
"GTF2H2",NA,NA,NA
"AT1G05060",NA,NA,NA
"CLE20",NA,NA,NA
"AT1G05070",NA,NA,NA
"AT1G05090",NA,NA,NA
"MAPKKK18",NA,NA,NA
"AT1G05120",NA,NA,NA
"AT1G05140",NA,NA,NA
"AT1G05150",NA,NA,NA
"CYP88A3",NA,NA,NA
"AT1G05170",NA,NA,NA
"AXR1",NA,NA,NA
"emb2394",NA,NA,NA
"GLR3.4",NA,NA,NA
"AT1G05205",NA,NA,NA
"AT1G05210",NA,NA,NA
"AT1G05220",NA,NA,NA
