"gene","MoransI_observed","MoransI_p.value","MoransI_p.adj"
"AT1G35880",NA,NA,NA
"AT1G36050",NA,NA,NA
"AT1G36070",NA,NA,NA
"ACC1",NA,NA,NA
"ACC2",NA,NA,NA
"AT1G36280",NA,NA,NA
"AT1G36310",NA,NA,NA
"AT1G36320",NA,NA,NA
"SHM7",NA,NA,NA
"AT1G36380",NA,NA,NA
"AT1G36390",NA,NA,NA
"AT1G36622",NA,NA,NA
"AT1G06983",NA,NA,NA
"AT1G36640",NA,NA,NA
"AT1G36730",NA,NA,NA
"AT1G36940",NA,NA,NA
"AT1G36980",NA,NA,NA
"AT1G36990",NA,NA,NA
"NIA2",NA,NA,NA
"HCS2",NA,NA,NA
"SKS6",NA,NA,NA
"AT1G41880",NA,NA,NA
"AT1G42430",NA,NA,NA
"AT1G42440",NA,NA,NA
"AT1G42470",NA,NA,NA
"AT1G42480",NA,NA,NA
"GLR3.3",NA,NA,NA
"PMI1",NA,NA,NA
"AT1G42960",NA,NA,NA
"GAPB",NA,NA,NA
"BZIP60",NA,NA,NA
"LCV2",NA,NA,NA
"RAP2.6",NA,NA,NA
"RP1",NA,NA,NA
"PTB3",NA,NA,NA
"AT1G43245",NA,NA,NA
"ty2",NA,NA,NA
"AT1G43580",NA,NA,NA
"UGT80B1",NA,NA,NA
"FBP",NA,NA,NA
"AT1G43690",NA,NA,NA
"VIP1",NA,NA,NA
"EMB1075",NA,NA,NA
"AT1G43770",NA,NA,NA
"scpl44",NA,NA,NA
"SEU",NA,NA,NA
"AT1G43860",NA,NA,NA
"RAB18",NA,NA,NA
"AT1G43900",NA,NA,NA
"AT1G43910",NA,NA,NA
"AT1G44000",NA,NA,NA
"AT1G44050",NA,NA,NA
"AAP5",NA,NA,NA
"CYCA1%3B1",NA,NA,NA
"AT1G44125",NA,NA,NA
"ALDH3H1",NA,NA,NA
"ILL6",NA,NA,NA
"CH1",NA,NA,NA
"AT1G44542",NA,NA,NA
"NPQ4",NA,NA,NA
"AT1G44608",NA,NA,NA
"AT1G44740",NA,NA,NA
"PUP11",NA,NA,NA
"AT1G44760",NA,NA,NA
"AT1G44770",NA,NA,NA
"AT1G44780",NA,NA,NA
"AT1G44790",NA,NA,NA
"AT1G44810",NA,NA,NA
"AT1G44820",NA,NA,NA
"AT1G44830",NA,NA,NA
"AT1G44835",NA,NA,NA
"AT1G44890",NA,NA,NA
"MCM2",NA,NA,NA
"PRP40A",NA,NA,NA
"AT1G44920",NA,NA,NA
"AT1G44960",NA,NA,NA
"AT1G45000",NA,NA,NA
"AT1G45010",NA,NA,NA
"AT1G45015",NA,NA,NA
"ATUBC2-1",NA,NA,NA
"AT1G45110",NA,NA,NA
"BGAL5",NA,NA,NA
"TRX5",NA,NA,NA
"AT1G45150",NA,NA,NA
"AT1G45160",NA,NA,NA
"AT1G45163",NA,NA,NA
"AT1G45170",NA,NA,NA
"AT1G45180",NA,NA,NA
"TLL1",NA,NA,NA
"AT1G45207",NA,NA,NA
"AT1G45231",NA,NA,NA
"THO5",NA,NA,NA
"AT1G45229",NA,NA,NA
"AT1G45248",NA,NA,NA
"ABF2",NA,NA,NA
"AT1G45230",NA,NA,NA
"AT1G45332",NA,NA,NA
"Lhca5",NA,NA,NA
"AT1G45688",NA,NA,NA
"SBP1",NA,NA,NA
"HSFB4",NA,NA,NA
"RAP2.1",NA,NA,NA
"VFB1",NA,NA,NA
"RD21A",NA,NA,NA
"WPP2",NA,NA,NA
"CYCA3%3B2",NA,NA,NA
"CYCA3%3B4",NA,NA,NA
"NRAMP2",NA,NA,NA
"PAF2",NA,NA,NA
"GAMMA CA2",NA,NA,NA
"TLP6",NA,NA,NA
"AT1G47278",NA,NA,NA
"3BETAHSD/D1",NA,NA,NA
"AT1G47310",NA,NA,NA
"AT1G47330",NA,NA,NA
"AT1G47340",NA,NA,NA
"AT1G47380",NA,NA,NA
"AT1G47410",NA,NA,NA
"SDH5",NA,NA,NA
"RBP47C",NA,NA,NA
"RBP47C'",NA,NA,NA
"5PTASE11",NA,NA,NA
"AT1G47530",NA,NA,NA
"SEC3A",NA,NA,NA
"SEC3B",NA,NA,NA
"AT1G47570",NA,NA,NA
"DYW1",NA,NA,NA
"BGLU34",NA,NA,NA
"AT1G47640",NA,NA,NA
"AT1G47670",NA,NA,NA
"SERPIN1",NA,NA,NA
"OSB1",NA,NA,NA
"AT1G47740",NA,NA,NA
"PEX11A",NA,NA,NA
"AGL102",NA,NA,NA
"AT1G47820",NA,NA,NA
"AT1G47830",NA,NA,NA
"HXK3",NA,NA,NA
"ATE2F2",NA,NA,NA
"AT1G47900",NA,NA,NA
"AT1G47970",NA,NA,NA
"mtLPD1",NA,NA,NA
"AT1G48040",NA,NA,NA
"KU80",NA,NA,NA
"AT1G48090",NA,NA,NA
"AT1G07477",NA,NA,NA
"ECT7",NA,NA,NA
"DPMS3",NA,NA,NA
"AT1G48160",NA,NA,NA
"AT1G48170",NA,NA,NA
"emb2191",NA,NA,NA
"AT1G48200",NA,NA,NA
"AT1G48210",NA,NA,NA
"AT1G48230",NA,NA,NA
"NPSN12",NA,NA,NA
"CIPK17",NA,NA,NA
"GCR1",NA,NA,NA
"AT1G48280",NA,NA,NA
"DGAT3",NA,NA,NA
"CHR18",NA,NA,NA
"AT1G48315",NA,NA,NA
"DHNAT1",NA,NA,NA
"AT1G48330",NA,NA,NA
"EMB3105",NA,NA,NA
"AT1G48360",NA,NA,NA
"YSL8",NA,NA,NA
"RHL1",NA,NA,NA
"AT1G48390",NA,NA,NA
"AGO1",NA,NA,NA
"D-CDES",NA,NA,NA
"AT1G48430",NA,NA,NA
"AT1G48440",NA,NA,NA
"AT1G48450",NA,NA,NA
"AT1G48460",NA,NA,NA
"GLN1%3B5",NA,NA,NA
"RKL1",NA,NA,NA
"AT1G48490",NA,NA,NA
"AT1G48510",NA,NA,NA
"GATB",NA,NA,NA
"AT1G48540",NA,NA,NA
"AT1G48550",NA,NA,NA
"AT1G48560",NA,NA,NA
"AT1G48570",NA,NA,NA
"AT1G48580",NA,NA,NA
"PMEAMT",NA,NA,NA
"ATHAL3B",NA,NA,NA
"AT1G48610",NA,NA,NA
"HON5",NA,NA,NA
"RACK1B-AT",NA,NA,NA
"PEX3",NA,NA,NA
"AT1G48650",NA,NA,NA
"AT1G48660",NA,NA,NA
"AT1G48700",NA,NA,NA
"AT1G48720",NA,NA,NA
"AT1G48740",NA,NA,NA
"delta-ADR",NA,NA,NA
"AT1G48770",NA,NA,NA
"AT1G48780",NA,NA,NA
"AMSH1",NA,NA,NA
"AT1G48830",NA,NA,NA
"AT1G48840",NA,NA,NA
"EMB1144",NA,NA,NA
"AT1G48860",NA,NA,NA
"AT1G48870",NA,NA,NA
"TBL7",NA,NA,NA
"AT1G48900",NA,NA,NA
"NUC-L1",NA,NA,NA
"GH9C1",NA,NA,NA
"AT1G48950",NA,NA,NA
"AT1G48960",NA,NA,NA
"AT1G48970",NA,NA,NA
"CLE11",NA,NA,NA
"AT1G49010",NA,NA,NA
"AT1G49030",NA,NA,NA
"AT1G49032",NA,NA,NA
"SCD1",NA,NA,NA
"AT1G49050",NA,NA,NA
"BBX17",NA,NA,NA
"AT1G49140",NA,NA,NA
"WNK7",NA,NA,NA
"AT1G49170",NA,NA,NA
"AT1G49180",NA,NA,NA
"AT1G49200",NA,NA,NA
"AT1G49230",NA,NA,NA
"ACT8",NA,NA,NA
"AT1G49245",NA,NA,NA
"RABG3E",NA,NA,NA
"USPL1",NA,NA,NA
"ATPI4K ALPHA",NA,NA,NA
"AT1G49350",NA,NA,NA
"AT1G49360",NA,NA,NA
"AT1G49380",NA,NA,NA
"AT1G49390",NA,NA,NA
"emb1129",NA,NA,NA
"TOM6",NA,NA,NA
"LACS2",NA,NA,NA
"AT1G49475",NA,NA,NA
"RTV1",NA,NA,NA
"AT1G49490",NA,NA,NA
"emb1273",NA,NA,NA
"AT1G49520",NA,NA,NA
"GGPS6",NA,NA,NA
"ELP2",NA,NA,NA
"AT1G49560",NA,NA,NA
"AT1G49580",NA,NA,NA
"AT1G49590",NA,NA,NA
"RBP47A",NA,NA,NA
"ICK5",NA,NA,NA
"PREP2",NA,NA,NA
"AT1G49650",NA,NA,NA
"CXE5",NA,NA,NA
"NQR",NA,NA,NA
"AT1G49700",NA,NA,NA
"FUT12",NA,NA,NA
"ABF1",NA,NA,NA
"AT1G49730",NA,NA,NA
"AT1G49740",NA,NA,NA
"AT1G49750",NA,NA,NA
"PAB8",NA,NA,NA
"PUB26",NA,NA,NA
"AT1G49790",NA,NA,NA
"MTK",NA,NA,NA
"AT1G49840",NA,NA,NA
"AT1G49850",NA,NA,NA
"GSTF14",NA,NA,NA
"AT1G49870",NA,NA,NA
"Erv1",NA,NA,NA
"QWRF2",NA,NA,NA
"BUB3.2",NA,NA,NA
"AT1G49940",NA,NA,NA
"TRB1",NA,NA,NA
"CLPR1",NA,NA,NA
"AT1G49975",NA,NA,NA
"AT1G49980",NA,NA,NA
"AT1G49990",NA,NA,NA
"AT1G50000",NA,NA,NA
"TUA2",NA,NA,NA
"AT1G50020",NA,NA,NA
"TOR",NA,NA,NA
"AT1G50040",NA,NA,NA
"AT1G50050",NA,NA,NA
"AT1G50060",NA,NA,NA
"BCAT7",NA,NA,NA
"AT1G50110",NA,NA,NA
"AT1G50120",NA,NA,NA
"AT1G50140",NA,NA,NA
"SIRB",NA,NA,NA
"ALATS",NA,NA,NA
"FU",NA,NA,NA
"FTSH1",NA,NA,NA
"NTMC2T5.1",NA,NA,NA
"AT1G50270",NA,NA,NA
"AT1G50280",NA,NA,NA
"AT1G50290",NA,NA,NA
"TAF15",NA,NA,NA
"THX",NA,NA,NA
"VIIIA",NA,NA,NA
"FYPP1",NA,NA,NA
"AT1G50380",NA,NA,NA
"AT1G50400",NA,NA,NA
"AT1G50410",NA,NA,NA
"SCL3",NA,NA,NA
"DWF5",NA,NA,NA
"AT1G50440",NA,NA,NA
"AT1G50450",NA,NA,NA
"HKL1",NA,NA,NA
"THFS",NA,NA,NA
"UBC20",NA,NA,NA
"HIT1",NA,NA,NA
"AT1G50510",NA,NA,NA
"CYP705A27",NA,NA,NA
"CYP705A25",NA,NA,NA
"AT1G50570",NA,NA,NA
"AT1G50575",NA,NA,NA
"AT1G50580",NA,NA,NA
"SCL5",NA,NA,NA
"AT1G50620",NA,NA,NA
"AT1G50630",NA,NA,NA
"ERF3",NA,NA,NA
"AT1G50660",NA,NA,NA
"AT1G50670",NA,NA,NA
"CPK33",NA,NA,NA
"AUG4",NA,NA,NA
"AT1G50730",NA,NA,NA
"AT1G50732",NA,NA,NA
"AT1G50740",NA,NA,NA
"AT1G50790",NA,NA,NA
"AT1G50830",NA,NA,NA
"POLGAMMA2",NA,NA,NA
"AT1G50890",NA,NA,NA
"GDC1",NA,NA,NA
"AT1G07693",NA,NA,NA
"AT1G50910",NA,NA,NA
"AT1G50920",NA,NA,NA
"ETFALPHA",NA,NA,NA
"AT1G50950",NA,NA,NA
"AT1G50970",NA,NA,NA
"HTA10",NA,NA,NA
"bHLH115",NA,NA,NA
"AT1G51080",NA,NA,NA
"CRR41",NA,NA,NA
"AT1G51110",NA,NA,NA
"AT1G51130",NA,NA,NA
"FBH3",NA,NA,NA
"AT1G51160",NA,NA,NA
"UCN",NA,NA,NA
"PLT2",NA,NA,NA
"AT1G51200",NA,NA,NA
"AT1G51310",NA,NA,NA
"AT1G51350",NA,NA,NA
"AT1G51355",NA,NA,NA
"DABB1",NA,NA,NA
"AT1G51370",NA,NA,NA
"AT1G51380",NA,NA,NA
"NFU5",NA,NA,NA
"AT1G51400",NA,NA,NA
"AT1G07743",NA,NA,NA
"AT1G51405",NA,NA,NA
"SPP1",NA,NA,NA
"AT1G51430",NA,NA,NA
"TRO",NA,NA,NA
"BGLU35",NA,NA,NA
"ABCG12",NA,NA,NA
"Y14",NA,NA,NA
"AT1G51520",NA,NA,NA
"AT1G51540",NA,NA,NA
"AT1G51550",NA,NA,NA
"AT1G51560",NA,NA,NA
"AT1G51570",NA,NA,NA
"AT1G51580",NA,NA,NA
"MNS1",NA,NA,NA
"ZML2",NA,NA,NA
"AT1G51610",NA,NA,NA
"MSR2",NA,NA,NA
"AT1G51645",NA,NA,NA
"AT1G51650",NA,NA,NA
"MKK4",NA,NA,NA
"4CL1",NA,NA,NA
"B ALPHA",NA,NA,NA
"UBP6",NA,NA,NA
"AT1G51720",NA,NA,NA
"AT1G51730",NA,NA,NA
"SYP81",NA,NA,NA
"AT1G51745",NA,NA,NA
"IAR3",NA,NA,NA
"AT1G51770",NA,NA,NA
"AT1G51790",NA,NA,NA
"IOS1",NA,NA,NA
"AT1G51805",NA,NA,NA
"AT1G51850",NA,NA,NA
"LYK3",NA,NA,NA
"IAA18",NA,NA,NA
"ABO5",NA,NA,NA
"AT1G51980",NA,NA,NA
"AT1G52050",NA,NA,NA
"AT1G52060",NA,NA,NA
"AT1G52070",NA,NA,NA
"AR791",NA,NA,NA
"AT1G52100",NA,NA,NA
"AT1G52140",NA,NA,NA
"ATHB-15",NA,NA,NA
"AT1G52155",NA,NA,NA
"TRZ3",NA,NA,NA
"AT1G52190",NA,NA,NA
"AT1G52200",NA,NA,NA
"AT1G52220",NA,NA,NA
"PSAH2",NA,NA,NA
"ROPGEF11",NA,NA,NA
"AT1G52245",NA,NA,NA
"PDIL1-5",NA,NA,NA
"RABG3d",NA,NA,NA
"AT1G52300",NA,NA,NA
"AT1G52310",NA,NA,NA
"AT1G52315",NA,NA,NA
"AT1G52320",NA,NA,NA
"AT1G52330",NA,NA,NA
"ABA2",NA,NA,NA
"AT1G52342",NA,NA,NA
"AT1G52360",NA,NA,NA
"AT1G52370",NA,NA,NA
"AT1G52380",NA,NA,NA
"BGLU18",NA,NA,NA
"AT1G52420",NA,NA,NA
"AT1G52450",NA,NA,NA
"MMH-1",NA,NA,NA
"AT1G52510",NA,NA,NA
"FRS6",NA,NA,NA
"AT1G52530",NA,NA,NA
"AT1G52540",NA,NA,NA
"AT1G52550",NA,NA,NA
"AT1G52560",NA,NA,NA
"AT1G52565",NA,NA,NA
"PLDALPHA2",NA,NA,NA
"AT1G52590",NA,NA,NA
"AT1G52600",NA,NA,NA
"AT1G52630",NA,NA,NA
"AT1G52640",NA,NA,NA
"AT1G52650",NA,NA,NA
"AT1G52670",NA,NA,NA
"AT1G52700",NA,NA,NA
"AT1G52710",NA,NA,NA
"AT1G52720",NA,NA,NA
"AT1G52730",NA,NA,NA
"HTA9",NA,NA,NA
"AT1G52750",NA,NA,NA
"LysoPL2",NA,NA,NA
"AT1G52780",NA,NA,NA
"AT1G52825",NA,NA,NA
"AT1G52855",NA,NA,NA
"AT1G52870",NA,NA,NA
"AT1G52905",NA,NA,NA
"AT1G52910",NA,NA,NA
"AtNug2",NA,NA,NA
"CKS",NA,NA,NA
"AT1G53025",NA,NA,NA
"AT1G53030",NA,NA,NA
"AT1G53035",NA,NA,NA
"AT1G53040",NA,NA,NA
"AT1G53050",NA,NA,NA
"AT1G53060",NA,NA,NA
"AT1G53070",NA,NA,NA
"SPA4",NA,NA,NA
"AT1G53110",NA,NA,NA
"AT1G53120",NA,NA,NA
"GRI",NA,NA,NA
"DRP5A",NA,NA,NA
"SPL4",NA,NA,NA
"AT1G53163",NA,NA,NA
"ATMAP4K ALPHA1",NA,NA,NA
"ERF8",NA,NA,NA
"AT1G53180",NA,NA,NA
"AT1G53190",NA,NA,NA
"AT1G53200",NA,NA,NA
"AT1G53210",NA,NA,NA
"TCP3",NA,NA,NA
"mMDH1",NA,NA,NA
"AT1G53250",NA,NA,NA
"DJ1B",NA,NA,NA
"AT1G53290",NA,NA,NA
"TTL1",NA,NA,NA
"PPC1",NA,NA,NA
"TLP7",NA,NA,NA
"AT1G53345",NA,NA,NA
"AT1G53350",NA,NA,NA
"AT1G53380",NA,NA,NA
"ABCG24",NA,NA,NA
"AT1G53400",NA,NA,NA
"AT1G53430",NA,NA,NA
"AT1G53440",NA,NA,NA
"AT1G53450",NA,NA,NA
"AT1G53460",NA,NA,NA
"MSL4",NA,NA,NA
"MRD1",NA,NA,NA
"HEI10",NA,NA,NA
"MUM4",NA,NA,NA
"MPK18",NA,NA,NA
"FAP3",NA,NA,NA
"AT1G53530",NA,NA,NA
"AT1G53540",NA,NA,NA
"AT1G53542",NA,NA,NA
"AT1G53560",NA,NA,NA
"MAP3KA",NA,NA,NA
"GLY3",NA,NA,NA
"NTMC2T6.1",NA,NA,NA
"AT1G53600",NA,NA,NA
"AT1G53620",NA,NA,NA
"AT1G53625",NA,NA,NA
"AT1G53633",NA,NA,NA
"AT1G53645",NA,NA,NA
"CID8",NA,NA,NA
"AT1G53660",NA,NA,NA
"MSRB1",NA,NA,NA
"GSTU28",NA,NA,NA
"AT1G53690",NA,NA,NA
"WAG1",NA,NA,NA
"RTFL9",NA,NA,NA
"AT1G53710",NA,NA,NA
"CYP59",NA,NA,NA
"SRF6",NA,NA,NA
"RPT1A",NA,NA,NA
"AT1G53760",NA,NA,NA
"AT1G53770",NA,NA,NA
"AT1G53780",NA,NA,NA
"AT1G53790",NA,NA,NA
"AT1G53800",NA,NA,NA
"PME2",NA,NA,NA
"PME1",NA,NA,NA
"PAE1",NA,NA,NA
"AT1G53860",NA,NA,NA
"AT1G53887",NA,NA,NA
"AT1G53900",NA,NA,NA
"RAP2.12",NA,NA,NA
"GLIP5",NA,NA,NA
"GLL22",NA,NA,NA
"AT1G54010",NA,NA,NA
"AT1G54020",NA,NA,NA
"MVP1",NA,NA,NA
"AT1G54050",NA,NA,NA
"ASIL1",NA,NA,NA
"UBP1A",NA,NA,NA
"EXO70D2",NA,NA,NA
"ALDH7B4",NA,NA,NA
"AT1G54110",NA,NA,NA
"CCX4",NA,NA,NA
"AT1G54120",NA,NA,NA
"RSH3.1",NA,NA,NA
"TAFII21",NA,NA,NA
"SPL2",NA,NA,NA
"NF-YA5",NA,NA,NA
"CID3",NA,NA,NA
"BRX-LIKE3",NA,NA,NA
"AT1G54200",NA,NA,NA
"ATG12A",NA,NA,NA
"AT1G54217",NA,NA,NA
"AT1G54220",NA,NA,NA
"NRPB8A",NA,NA,NA
"AT1G54260",NA,NA,NA
"EIF4A-2",NA,NA,NA
"AT1G54290",NA,NA,NA
"AT1G54310",NA,NA,NA
"AT1G54320",NA,NA,NA
"ICDH",NA,NA,NA
"ABCD2",NA,NA,NA
"TAF6B",NA,NA,NA
"NHX5",NA,NA,NA
"AT1G54380",NA,NA,NA
"AT1G54385",NA,NA,NA
"ING2",NA,NA,NA
"AT1G54410",NA,NA,NA
"AT1G54440",NA,NA,NA
"AT1G54450",NA,NA,NA
"AT1G54460",NA,NA,NA
"XRN4",NA,NA,NA
"AT1G54500",NA,NA,NA
"NEK1",NA,NA,NA
"AT1G54520",NA,NA,NA
"AT1G54530",NA,NA,NA
"PES1",NA,NA,NA
"AT1G54575",NA,NA,NA
"ACP2",NA,NA,NA
"AT1G54610",NA,NA,NA
"ACP3",NA,NA,NA
"AT1G54650",NA,NA,NA
"AT1G54680",NA,NA,NA
"GAMMA-H2AX",NA,NA,NA
"ATG18H",NA,NA,NA
"AT1G54730",NA,NA,NA
"AT1G54770",NA,NA,NA
"TLP18.3",NA,NA,NA
"AT1G54790",NA,NA,NA
"AT1G54820",NA,NA,NA
"NF-YC3",NA,NA,NA
"AT1G54850",NA,NA,NA
"AT1G54890",NA,NA,NA
"AT1G54920",NA,NA,NA
"NP2",NA,NA,NA
"PRP1",NA,NA,NA
"AXR4",NA,NA,NA
"AT1G55000",NA,NA,NA
"LOX1",NA,NA,NA
"AT1G55040",NA,NA,NA
"AT1G55050",NA,NA,NA
"MED9",NA,NA,NA
"AT1G55090",NA,NA,NA
"IDD7",NA,NA,NA
"FRUCT5",NA,NA,NA
"TMN6",NA,NA,NA
"AT1G55140",NA,NA,NA
"RH20",NA,NA,NA
"AT1G55160",NA,NA,NA
"AT1G55152",NA,NA,NA
"AT1G55170",NA,NA,NA
"PRA7",NA,NA,NA
"AT1G55200",NA,NA,NA
"AT1G55205",NA,NA,NA
"AT1G55210",NA,NA,NA
"HUB2",NA,NA,NA
"AT1G55260",NA,NA,NA
"AT1G55265",NA,NA,NA
"TAF7",NA,NA,NA
"SCL33",NA,NA,NA
"AAE18",NA,NA,NA
"GCT",NA,NA,NA
"AGP21",NA,NA,NA
"AT1G55340",NA,NA,NA
"DEK1",NA,NA,NA
"AT1G55360",NA,NA,NA
"NDF5",NA,NA,NA
"AT1G55380",NA,NA,NA
"AT1G55450",NA,NA,NA
"AT1G55460",NA,NA,NA
"AT1G55475",NA,NA,NA
"ZKT",NA,NA,NA
"CPN60B",NA,NA,NA
"ECT4",NA,NA,NA
"BCDH BETA1",NA,NA,NA
"TBP2",NA,NA,NA
"AT1G55530",NA,NA,NA
"AT1G55535",NA,NA,NA
"LNO1",NA,NA,NA
"AT1G55550",NA,NA,NA
"LAS",NA,NA,NA
"AT1G55590",NA,NA,NA
"BRL1",NA,NA,NA
"CLC-F",NA,NA,NA
"AT1G55630",NA,NA,NA
"PSAG",NA,NA,NA
"AT1G55675",NA,NA,NA
"AT1G55680",NA,NA,NA
"AT1G55690",NA,NA,NA
"CAX5",NA,NA,NA
"SIP1",NA,NA,NA
"AT1G55750",NA,NA,NA
"AT1G55760",NA,NA,NA
"AT1G55800",NA,NA,NA
"AT1G55805",NA,NA,NA
"UKL3",NA,NA,NA
"AT1G55820",NA,NA,NA
"AT1G55830",NA,NA,NA
"AT1G55840",NA,NA,NA
"CSLE1",NA,NA,NA
"UPL1",NA,NA,NA
"AHG2",NA,NA,NA
"AT1G55880",NA,NA,NA
"AT1G55890",NA,NA,NA
"TIM50",NA,NA,NA
"ZIP11",NA,NA,NA
"AT1G55915",NA,NA,NA
"SERAT2%3B1",NA,NA,NA
"AT1G55930",NA,NA,NA
"AT1G55960",NA,NA,NA
"AT1G56000",NA,NA,NA
"AT1G56020",NA,NA,NA
"AT1G56045",NA,NA,NA
"AT1G56050",NA,NA,NA
"AT1G56060",NA,NA,NA
"LOS1",NA,NA,NA
"AT1G56080",NA,NA,NA
"AT1G56090",NA,NA,NA
"NOP56",NA,NA,NA
"AT1G56120",NA,NA,NA
"AT1G56130",NA,NA,NA
"AT1G56140",NA,NA,NA
"AT1G56145",NA,NA,NA
"AT1G56150",NA,NA,NA
"NF-YC2",NA,NA,NA
"AT1G56180",NA,NA,NA
"AT1G56190",NA,NA,NA
"EMB1303",NA,NA,NA
"AT1G56210",NA,NA,NA
"AT1G56220",NA,NA,NA
"AT1G56230",NA,NA,NA
"AT1G08103",NA,NA,NA
"PP2-B13",NA,NA,NA
"PP2-B14",NA,NA,NA
"MDO1",NA,NA,NA
"DI19",NA,NA,NA
"AT1G56290",NA,NA,NA
"AT1G56300",NA,NA,NA
"AT1G56310",NA,NA,NA
"AT1G56320",NA,NA,NA
"SAR1B",NA,NA,NA
"CRT1a",NA,NA,NA
"AT1G56345",NA,NA,NA
"AT1G56350",NA,NA,NA
"AT1G56420",NA,NA,NA
"AT1G56423",NA,NA,NA
"NAS4",NA,NA,NA
"TPR5",NA,NA,NA
"PBG1",NA,NA,NA
"AT1G56460",NA,NA,NA
"AT1G56500",NA,NA,NA
"WRR4",NA,NA,NA
"RGXT3",NA,NA,NA
"A/N-InvA",NA,NA,NA
"PGN",NA,NA,NA
"SVB",NA,NA,NA
"ZIP4.1",NA,NA,NA
"GolS2",NA,NA,NA
"AT1G56610",NA,NA,NA
"AT1G56612",NA,NA,NA
"PAP1",NA,NA,NA
"AT1G56660",NA,NA,NA
"AT1G56670",NA,NA,NA
"AT1G56680",NA,NA,NA
"AT1G56690",NA,NA,NA
"AT1G56700",NA,NA,NA
"AT1G56720",NA,NA,NA
"AT1G57540",NA,NA,NA
"AT1G57590",NA,NA,NA
"AT1G57600",NA,NA,NA
"AT1G57610",NA,NA,NA
"AT1G57620",NA,NA,NA
"AT1G57660",NA,NA,NA
"Cand1",NA,NA,NA
"AT1G57700",NA,NA,NA
"AT1G57720",NA,NA,NA
"AT1G57765",NA,NA,NA
"AT1G57770",NA,NA,NA
"AT1G57790",NA,NA,NA
"VIM1",NA,NA,NA
"AT1G57860",NA,NA,NA
"SK42",NA,NA,NA
"AT1G57980",NA,NA,NA
"PUP18",NA,NA,NA
"AT1G58025",NA,NA,NA
"CAT2",NA,NA,NA
"AT1G58060",NA,NA,NA
"ATP-PRT1",NA,NA,NA
"TCP8",NA,NA,NA
"AT1G58110",NA,NA,NA
"JAX1",NA,NA,NA
"AT1G58170",NA,NA,NA
"BCA6",NA,NA,NA
"RLP9",NA,NA,NA
"MSL3",NA,NA,NA
"EMB1674",NA,NA,NA
"AT1G58220",NA,NA,NA
"AT1G58230",NA,NA,NA
"AT1G58235",NA,NA,NA
"SAB",NA,NA,NA
"ZW9",NA,NA,NA
"AT1G08213",NA,NA,NA
"AT1G58280",NA,NA,NA
"HEMA1",NA,NA,NA
"ZW18",NA,NA,NA
"AAP1",NA,NA,NA
"XW6",NA,NA,NA
"AT1G58400",NA,NA,NA
"AT1G58410",NA,NA,NA
"AT1G58420",NA,NA,NA
"XF1",NA,NA,NA
"RBP1",NA,NA,NA
"AT1G58525",NA,NA,NA
"AT1G58602",NA,NA,NA
"AT1G58848",NA,NA,NA
"AT1G59171",NA,NA,NA
"AT1G59218",NA,NA,NA
"CF9",NA,NA,NA
"CW7",NA,NA,NA
"bZIP4",NA,NA,NA
"ZCF125",NA,NA,NA
"ZCF61",NA,NA,NA
"MPK2",NA,NA,NA
"ZCF37",NA,NA,NA
"ZCW7",NA,NA,NA
"DL3",NA,NA,NA
"CW9",NA,NA,NA
"BPEp",NA,NA,NA
"CW14",NA,NA,NA
"AT1G59660",NA,NA,NA
"GSTU16",NA,NA,NA
"AT1G59710",NA,NA,NA
"CRR28",NA,NA,NA
"AT1G59740",NA,NA,NA
"ARF1.1",NA,NA,NA
"MTR4",NA,NA,NA
"AT1G59780",NA,NA,NA
"ALA3",NA,NA,NA
"PP2A-1",NA,NA,NA
"CCB4",NA,NA,NA
"AT1G08273",NA,NA,NA
"AT1G59860",NA,NA,NA
"PEN3",NA,NA,NA
"SNL5",NA,NA,NA
"E1 ALPHA",NA,NA,NA
"AT1G59910",NA,NA,NA
"ARR3",NA,NA,NA
"AT1G59960",NA,NA,NA
"AT1G59970",NA,NA,NA
"AT1G08283",NA,NA,NA
"ARL2",NA,NA,NA
"EMB3108",NA,NA,NA
"AT1G60000",NA,NA,NA
"AT1G60010",NA,NA,NA
"NAT7",NA,NA,NA
"UMAMIT35",NA,NA,NA
"AT1G60060",NA,NA,NA
"AT1G60070",NA,NA,NA
"AT1G60080",NA,NA,NA
"BGLU4",NA,NA,NA
"AT1G60130",NA,NA,NA
"TPS10",NA,NA,NA
"AT1G60160",NA,NA,NA
"emb1220",NA,NA,NA
"PUB19",NA,NA,NA
"AT1G60200",NA,NA,NA
"ULP1D",NA,NA,NA
"AT1G60230",NA,NA,NA
"BGLU6",NA,NA,NA
"AT1G60420",NA,NA,NA
"ARPC3",NA,NA,NA
"PANK1",NA,NA,NA
"GolS7",NA,NA,NA
"VPS34",NA,NA,NA
"AT1G60505",NA,NA,NA
"AT1G60525",NA,NA,NA
"AT1G60545",NA,NA,NA
"ECHID",NA,NA,NA
"AT1G60560",NA,NA,NA
"AT1G60590",NA,NA,NA
"ABC4",NA,NA,NA
"AT1G60610",NA,NA,NA
"RPAC43",NA,NA,NA
"AT1G60630",NA,NA,NA
"AT1G60640",NA,NA,NA
"AtRZ-1b",NA,NA,NA
"CB5LP",NA,NA,NA
"AT1G60670",NA,NA,NA
"AT1G60680",NA,NA,NA
"AT1G60690",NA,NA,NA
"AT1G60700",NA,NA,NA
