"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT3G18760",0.0387622145295419,1.03971785548616,0.054,0.136,1
"AT5G06970",0.0387677983351127,0.587585927176464,0.097,0.21,1
"BIL4",0.0388675387052048,1.05342187941516,0.092,0.198,1
"SEC5B",0.0391127678200465,1.88142096681325,0.054,0.136,1
"ATERDJ3B",0.0396848457769711,1.10929738335562,0.314,0.617,1
"AT1G79985",0.0400505394279357,0.592523865839438,0.076,0.173,1
"IPP1",0.0400888468909308,0.842505094365756,0.135,0.272,1
"AT3G15380",0.0401782244091699,-0.39446542153936,0.049,0.123,1
"AT5G13070",0.0403190668758776,0.774283167309038,0.092,0.198,1
"ATB BETA",0.0403639786538772,0.744230040955379,0.151,0.296,1
"NTRA",0.0406977564856014,0.717595320050208,0.265,0.506,1
"AT1G27350",0.0407855156256065,1.1275716438173,0.265,0.519,1
"AT4G01395",0.040938315482266,0.535067657319712,0.049,0.123,1
"AUG7",0.040938315482266,0.301789802235254,0.049,0.123,1
"AT1G09200",0.0410042584930993,0.473531761545871,0.07,0.16,1
"ATB' DELTA",0.0411465725965772,0.356960513021965,0.086,0.185,1
"AT4G37830",0.0411841824543617,0.891193892348254,0.4,0.815,1
"ABF2",0.0413229079125115,0.337199103183088,0.049,0.123,1
"AT3G63460",0.0414887365527094,0.640235839636814,0.114,0.235,1
"NTMC2T6.1",0.0417103926735504,0.607840321301071,0.049,0.123,1
"QPT",0.0417105560491924,0.341711483537904,0.049,0.123,1
"AT5G43720",0.0421012782922053,-0.464111923501914,0.049,0.123,1
"AT5G20165",0.0423520497165292,0.562544820171988,0.07,0.16,1
"AT1G15370",0.042495093094492,1.13785741226147,0.049,0.123,1
"AT1G32360",0.042495093094492,0.412102613185981,0.049,0.123,1
"UBP8",0.0426949492908353,0.263210338855652,0.07,0.16,1
"GLDP2",0.0427783198809052,0.656700109420378,0.189,0.358,1
"GAUT6",0.0428920189616235,0.396827377514581,0.049,0.123,1
"AT5G48335",0.0430400678383517,0.264135399588821,0.07,0.16,1
"AT1G74910",0.043047736719852,1.7015039225867,0.092,0.198,1
"AUX1",0.0432295212102621,2.65338072192625,0.259,0.185,1
"AT2G41020",0.0432920744513776,1.20827202415888,0.049,0.123,1
"MSRB2",0.0432920744513776,0.296791715252736,0.049,0.123,1
"AT1G06700",0.0433121006364867,0.548697170521024,0.13,0.259,1
"TPR4",0.0436952781733097,0.858758196489614,0.049,0.123,1
"AT4G32140",0.0436952781733097,0.651257935271811,0.049,0.123,1
"AT5G24650",0.0436952781733097,1.1302833797037,0.049,0.123,1
"AT1G61150",0.0437373818481799,0.57847209807967,0.07,0.16,1
"AT3G55605",0.0441016487883179,1.29300745800898,0.049,0.123,1
"emb1220",0.0445112050082007,0.324178375785575,0.049,0.123,1
"SPA2",0.0445112050082007,1.22817224007975,0.049,0.123,1
"AT5G16210",0.0445112050082007,0.934533378558482,0.049,0.123,1
"ACO1.1",0.0446665614351811,0.821250094744358,0.227,0.444,1
"AT2G01720",0.0448626317631564,0.799291661526135,0.135,0.272,1
"FEI2",0.0449239655952084,0.836768138032385,0.049,0.123,1
"AT1G65720",0.0449895368534577,0.753523387019863,0.086,0.185,1
"PLMT",0.0453399493615888,1.03309537202862,0.049,0.123,1
"AT5G03460",0.0453399493615888,0.650305864914556,0.049,0.123,1
"ANK6",0.0453399493615888,1.15332781740052,0.049,0.123,1
"AIM1",0.0456027007497978,1.09548168512293,0.092,0.198,1
"ckl7",0.0456650054615101,0.663042512638741,0.065,0.148,1
"AT1G07480",0.0457591751691245,0.278072321767289,0.049,0.123,1
"FUC95A",0.0457591751691245,0.265658892954131,0.049,0.123,1
"AT5G66580",0.0457591751691245,0.964506180773782,0.049,0.123,1
"ICL",0.0458625075606371,3.64253723827208,0.108,0.037,1
"TPR1",0.0459962363362182,0.937817369338361,0.086,0.185,1
"HAP13",0.0460442742288097,0.439720230068935,0.178,0.333,1
"AT1G21065",0.046211996151685,-0.273086593435156,0.043,0.111,1
"ADF9",0.0462500865125016,3.89390060910466,0.108,0.037,1
"RL2",0.0464251459060156,0.314665867993927,0.065,0.148,1
"AT5G35730",0.0464514886594015,1.06693546861441,0.114,0.235,1
"AT1G67350",0.0465512605232492,0.619049873231605,0.184,0.346,1
"AT1G33265",0.0466227833517298,1.30329532852449,0.07,0.16,1
"UBC34",0.0466607246427537,-0.282203080774571,0.043,0.111,1
"MTO3",0.0469723344818126,0.808541652126179,0.297,0.556,1
"AT5G01460",0.0469944772894314,1.35311379187719,0.07,0.16,1
"SMG7",0.0471273698123851,0.992160602873565,0.108,0.222,1
"AT4G16660",0.0471748870733658,0.984779437411335,0.351,0.679,1
"ckl8",0.0477162127339771,0.593380147239669,0.086,0.185,1
"AT1G48160",0.0477640658751621,0.561178516735282,0.108,0.222,1
"AT3G08610",0.0478133896342347,0.771521566310852,0.324,0.617,1
