"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT4G17520",5.34789676717052e-12,0.222991514623499,0.029,0.142,9.54706530875282e-08,"0","AT4G17520"
"AT5G20080",5.39296994358797e-12,-1.42411416886124,0.007,0.094,9.62752994329324e-08,"0","AT5G20080"
"GER2",5.43735721153535e-12,-1.43941312737903,0.007,0.094,9.70677009403291e-08,"0","GER2"
"AT2G32730",5.44850819990571e-12,-1.23827155526379,0.007,0.094,9.72667683847167e-08,"0","AT2G32730"
"PFD5",5.51589443669798e-12,-0.97173529646909,0.007,0.094,9.84697474839323e-08,"0","PFD5"
"AT1G29310",5.61876997393838e-12,-0.304888610306128,0.017,0.117,1.00306281574748e-07,"0","AT1G29310"
"BIG",5.69223386960584e-12,-1.32452700243743,0.01,0.102,1.01617759040203e-07,"0","BIG"
"AT3G57010",5.91100663887484e-12,-1.66849883539524,0.005,0.09,1.05523290517194e-07,"0","AT3G57010"
"AT2G36130",5.91100815256483e-12,-1.51118398025495,0.005,0.09,1.05523317539587e-07,"0","AT2G36130"
"AT2G16940",5.95455142043671e-12,-0.980945959508042,0.01,0.102,1.06300651957636e-07,"0","AT2G16940"
"AT1G69250",5.98594793837322e-12,-1.45156687450523,0.005,0.09,1.06861142595839e-07,"0","AT1G69250"
"AT2G41810",6.10801140952032e-12,-9.40619303749732,0,0.077,1.09040219682757e-07,"0","AT2G41810"
"SCL30A",6.10801140952032e-12,-9.0595956599105,0,0.077,1.09040219682757e-07,"0","SCL30A"
"AT3G13882",6.10995313245825e-12,-0.487836099646987,0.014,0.109,1.09074883320645e-07,"0","AT3G13882"
"AT5G60670",6.12145472014385e-12,-0.325231066078488,0.014,0.109,1.09280209664008e-07,"0","AT5G60670"
"XYL1",6.27063576710393e-12,0.328657656830065,0.024,0.131,1.11943389714339e-07,"0","XYL1"
"DJ1A",6.31959306646222e-12,-3.51504292237941,0.002,0.082,1.12817375422483e-07,"0","DJ1A"
"AT1G50660",6.34773403327982e-12,-2.80261972300287,0.002,0.082,1.13319747962111e-07,"0","AT1G50660"
"AT5G45620",6.79073180159051e-12,-1.23923978823515,0.009,0.098,1.21228144121994e-07,"0","AT5G45620"
"ATB BETA",6.87268847445792e-12,-0.997876280043536,0.009,0.098,1.22691234646023e-07,"0","ATB BETA"
"AT3G13670",6.92183824204277e-12,-0.563055602927894,0.015,0.113,1.23568656296947e-07,"0","AT3G13670"
"ABS2",6.92786555807001e-12,-1.03525022993531,0.009,0.098,1.23676255942666e-07,"0","ABS2"
"AXS1",6.95472488855146e-12,-0.259409649277136,0.021,0.123,1.24155748710421e-07,"0","AXS1"
"AT2G47640",6.98347506767524e-12,-0.871270560935553,0.009,0.098,1.24668996908138e-07,"0","AT2G47640"
"AT1G76670",6.99506043051971e-12,-1.31303400151894,0.012,0.105,1.24875818805638e-07,"0","AT1G76670"
"DiT1",7.16015036022742e-12,-0.136017968533672,0.029,0.141,1.2782300423078e-07,"0","DiT1"
"AT1G30880",7.19525925838173e-12,-0.111939720817914,0.015,0.113,1.28449768280631e-07,"0","AT1G30880"
"RUXF",7.54693839245808e-12,-0.506677714913528,0.026,0.133,1.34727944182162e-07,"0","RUXF"
"ECT4",7.65986357123786e-12,-1.03818545316344,0.007,0.093,1.36743884473738e-07,"0","ECT4"
"AT5G02050",7.72278795533045e-12,-1.08934989793424,0.007,0.093,1.37867210578559e-07,"0","AT5G02050"
"AT1G80750",8.07094721347516e-12,-0.422350004674,0.017,0.116,1.44082549654958e-07,"0","AT1G80750"
"RPT6A",8.27483220988859e-12,-1.0332721230138,0.01,0.101,1.47722304610931e-07,"0","RPT6A"
"AT2G35120",8.44508065021449e-12,-1.04113126522146,0.005,0.089,1.50761579767629e-07,"0","AT2G35120"
"AT2G39960",8.45459105451227e-12,-0.750614420071242,0.01,0.101,1.50931359505153e-07,"0","AT2G39960"
"AT3G18410",8.63011571350971e-12,-0.382991183950148,0.019,0.119,1.54064825717575e-07,"0","AT3G18410"
"AT5G08420",8.63011571350971e-12,-0.473874932422541,0.019,0.119,1.54064825717575e-07,"0","AT5G08420"
"AT1G27470",8.67733702960849e-12,-8.80370305878625,0,0.076,1.54907820652571e-07,"0","AT1G27470"
"AT5G66860",8.67733968139756e-12,-9.66892407598481,0,0.076,1.54907867992309e-07,"0","AT5G66860"
"AT1G15420",8.90004484994433e-12,-1.72564703701951,0.003,0.085,1.58883600661206e-07,"0","AT1G15420"
"NTF2A",9.6143397691539e-12,-0.322954241639499,0.015,0.112,1.71635193558935e-07,"0","NTF2A"
"ORP3B",9.6320537841836e-12,-0.504051982169933,0.015,0.112,1.71951424155246e-07,"0","ORP3B"
"PP2A-3",9.64208522988451e-12,-0.880990287931038,0.009,0.097,1.72130505523898e-07,"0","PP2A-3"
"AlaAT1",9.93813238514803e-12,-0.335245057538718,0.015,0.112,1.77415539339663e-07,"0","AlaAT1"
"AT4G22000",1.0273142610423e-11,0.134743346526056,0.012,0.104,1.83396141881272e-07,"0","AT4G22000"
"PDCB4",1.06982830984801e-11,-1.64548618588702,0.007,0.092,1.90985749874067e-07,"0","PDCB4"
"AT3G04780",1.0731102869602e-11,-1.67160160518337,0.007,0.092,1.91571648428135e-07,"0","AT3G04780"
"AT3G58510",1.10309832761401e-11,-1.1319137607265,0.007,0.092,1.96925113445653e-07,"0","AT3G58510"
"AT2G23070",1.10727244356593e-11,-0.352072012221176,0.017,0.115,1.9767027662539e-07,"0","AT2G23070"
"AT1G07820",1.19344990019242e-11,-1.75479254967585,0.005,0.088,2.1305467618235e-07,"0","AT1G07820"
"AT2G42910",1.2009676305204e-11,-1.33312805635938,0.005,0.088,2.14396741400501e-07,"0","AT2G42910"
"AT1G77350",1.2621259237147e-11,-2.22820327266182,0.003,0.084,2.25314719901549e-07,"0","AT1G77350"
"AT3G06320",1.2621259237147e-11,-1.57603944418677,0.003,0.084,2.25314719901549e-07,"0","AT3G06320"
"RAB8C",1.27393723764374e-11,-2.98798488679197,0.002,0.079,2.2742327566416e-07,"0","RAB8C"
"CYP5",1.29125518183563e-11,-0.894852653288842,0.015,0.111,2.30514875061296e-07,"0","CYP5"
"TMN1",1.32839095940152e-11,-0.109573773935463,0.031,0.142,2.37144354072359e-07,"0","TMN1"
"AT5G11500",1.38169760310752e-11,-0.22527562174318,0.021,0.121,2.46660656106754e-07,"0","AT5G11500"
"AT5G36290",1.43741286139732e-11,-0.46884744702557,0.012,0.103,2.56606944016649e-07,"0","AT5G36290"
"HSP93-III",1.45655948603597e-11,-0.115962835216396,0.039,0.158,2.60024999447141e-07,"0","HSP93-III"
"MDH",1.48573954758022e-11,-0.275453632445242,0.022,0.124,2.65234224034021e-07,"0","MDH"
"PUMP1",1.51504175984334e-11,-1.52940344147226,0.007,0.091,2.70465254967232e-07,"0","PUMP1"
"SKD1",1.52744434606323e-11,-1.52912211431491,0.007,0.091,2.72679364659207e-07,"0","SKD1"
"LIF2",1.5430874737957e-11,-1.27444454492166,0.007,0.091,2.75471975822009e-07,"0","LIF2"
"AT1G42960",1.57223018341534e-11,0.274828798677988,0.038,0.155,2.80674532343307e-07,"0","AT1G42960"
"ADC1",1.59743927249424e-11,-1.06433611637779,0.014,0.106,2.85174858925672e-07,"0","ADC1"
"SAT32",1.61997566342733e-11,-0.876784503659961,0.014,0.106,2.89198055435047e-07,"0","SAT32"
"AT5G53480",1.62082149529889e-11,-1.42199050203873,0.01,0.099,2.89349053340758e-07,"0","AT5G53480"
"ATR1",1.65587922166397e-11,-1.03363634071357,0.01,0.099,2.95607558651452e-07,"0","ATR1"
"RAB6A",1.66137609909153e-11,-2.05440720411987,0.005,0.087,2.9658886120982e-07,"0","RAB6A"
"BSK3",1.67883196021104e-11,-0.722881917118042,0.005,0.087,2.99705081536874e-07,"0","BSK3"
"MAP65-1",1.69646824325468e-11,-1.62429826249087,0.005,0.087,3.02853510785826e-07,"0","MAP65-1"
"RPT5A",1.70491262103868e-11,-0.390933146515697,0.019,0.117,3.04361001107825e-07,"0","RPT5A"
"AT3G12390",1.74149594581276e-11,0.111504349614835,0.019,0.117,3.10891856246493e-07,"0","AT3G12390"
"ATNTT2",1.74579245788479e-11,-0.409432427405402,0.036,0.15,3.11658869581593e-07,"0","ATNTT2"
"HSFB4",1.74940186671097e-11,-8.95235972036676,0,0.074,3.12303221245243e-07,"0","HSFB4"
"NMD3",1.78145678263493e-11,-1.80009394472362,0.003,0.083,3.18025664835987e-07,"0","NMD3"
"STRS1",1.78913046131762e-11,-2.12338442382621,0.003,0.083,3.19395569954422e-07,"0","STRS1"
"AT2G18740",1.80373872646798e-11,-3.29326752007608,0.002,0.078,3.22003437449064e-07,"0","AT2G18740"
"AT1G04340",1.81175057182382e-11,-3.12792990315688,0.002,0.078,3.23433712081987e-07,"0","AT1G04340"
"AT4G29780",1.81175057182382e-11,-3.3121732571162,0.002,0.078,3.23433712081987e-07,"0","AT4G29780"
"AT4G38710",1.81175108796618e-11,-2.5616911846944,0.002,0.078,3.23433804223723e-07,"0","AT4G38710"
"AT3G23940",1.88120386147838e-11,-0.210853330458481,0.021,0.12,3.35832513351121e-07,"0","AT3G23940"
"HXK1",1.9103086826961e-11,-1.22323552515302,0.009,0.094,3.41028306034908e-07,"0","HXK1"
"AT2G37600",1.9602871457972e-11,-0.890027910745227,0.009,0.094,3.49950461267717e-07,"0","AT2G37600"
"TIF3H1",1.9647849676675e-11,-0.58945602664353,0.012,0.102,3.50753412428003e-07,"0","TIF3H1"
"PHOS32",2.10323149323936e-11,-0.396875784756902,0.017,0.113,3.75468886173091e-07,"0","PHOS32"
"AT2G31490",2.11220564716949e-11,0.220833889784117,0.022,0.123,3.77070952132697e-07,"0","AT2G31490"
"AT1G24050",2.21367528958369e-11,0.391088641791468,0.017,0.113,3.9518531269648e-07,"0","AT1G24050"
"AT5G01350",2.36337448429552e-11,-0.138197109472222,0.014,0.105,4.21909612936437e-07,"0","AT5G01350"
"RPN1A",2.3701860638012e-11,-0.735524866137403,0.01,0.098,4.2312561610979e-07,"0","RPN1A"
"AT3G60210",2.46527587508182e-11,-0.420941390620007,0.027,0.133,4.40101049219606e-07,"0","AT3G60210"
"ADK",2.53519139805304e-11,-1.9359138138697,0.003,0.082,4.52582368380429e-07,"0","ADK"
"NRPB11",2.5406387883045e-11,-1.11512126653736,0.003,0.082,4.5355483648812e-07,"0","NRPB11"
"AT2G28600",2.56995986132414e-11,-2.65139383012516,0.002,0.077,4.58789234443585e-07,"0","AT2G28600"
"AT5G51830",2.57565695248634e-11,-2.45231932295645,0.002,0.077,4.59806279157862e-07,"0","AT5G51830"
"OLI2",2.57565695248634e-11,-2.55488280067322,0.002,0.077,4.59806279157862e-07,"0","OLI2"
"AT5G62440",2.57565695248634e-11,-2.46036624457568,0.002,0.077,4.59806279157862e-07,"0","AT5G62440"
"SYNC1",2.70831334950415e-11,-1.31486468050165,0.009,0.093,4.8348809915348e-07,"0","SYNC1"
"AT4G02840",2.72987479291445e-11,-0.680421170751056,0.009,0.093,4.87337248031087e-07,"0","AT4G02840"
"AT2G01970",2.77248129654179e-11,-0.525383038447141,0.012,0.101,4.9494336105864e-07,"0","AT2G01970"
"AT3G03270",2.80163989054389e-11,0.231587168966573,0.058,0.191,5.00148753259895e-07,"0","AT3G03270"
"HSBP",2.95647722939065e-11,-0.429778850703987,0.017,0.112,5.2779031499082e-07,"0","HSBP"
"ADL6",3.03416184280747e-11,-0.997376233713741,0.007,0.089,5.41658572177989e-07,"0","ADL6"
"CINV1",3.08071490803362e-11,-0.550495974356118,0.007,0.089,5.49969225382161e-07,"0","CINV1"
"AT1G16000",3.09638689802514e-11,-1.00081111714721,0.007,0.089,5.52766989035448e-07,"0","AT1G16000"
"Cand7",3.21791058706395e-11,-1.06473553486974,0.01,0.097,5.74461398002657e-07,"0","Cand7"
"AT3G61240",3.22726955328762e-11,-1.12000355941294,0.01,0.097,5.76132160652906e-07,"0","AT3G61240"
"MEF14",3.24921415677961e-11,-1.04525594145677,0.01,0.097,5.80049711268297e-07,"0","MEF14"
"AT1G63980",3.31272227802559e-11,-0.817258729998436,0.01,0.097,5.91387181073128e-07,"0","AT1G63980"
"ACX1",3.32895638985505e-11,-0.226078944449888,0.019,0.115,5.94285294716923e-07,"0","ACX1"
"AT1G76400",3.34585115105789e-11,-1.78403827536051,0.005,0.085,5.97301347486855e-07,"0","AT1G76400"
"PSAO",3.35822115307196e-11,2.1765452005137,0.236,0.131,5.99509640246406e-07,"0","PSAO"
"AT1G64880",3.38088805368558e-11,-1.44359074422619,0.005,0.085,6.03556135343949e-07,"0","AT1G64880"
"PRMT10",3.52187957197047e-11,-8.11487064923811,0,0.072,6.28725941188168e-07,"0","PRMT10"
"AO1.1",3.52187957197047e-11,-8.47692681998784,0,0.072,6.28725941188168e-07,"0","AO1.1"
"NPY5",3.5755973139871e-11,-1.03895471535196,0.003,0.08,6.38315632492977e-07,"0","NPY5"
"iqd32",3.57942979466894e-11,-2.01487820341402,0.003,0.08,6.389998069443e-07,"0","iqd32"
"AT5G15550",3.58327011341701e-11,-2.13703862233981,0.003,0.08,6.39685380647205e-07,"0","AT5G15550"
"OVA9",3.59866408034397e-11,-1.42517166000206,0.003,0.08,6.42433511623005e-07,"0","OVA9"
"AT3G58660",3.65222114434953e-11,-2.29013931608865,0.002,0.076,6.51994518689277e-07,"0","AT3G58660"
"SVL1",3.65222114434953e-11,-1.29886639156945,0.002,0.076,6.51994518689277e-07,"0","SVL1"
"EIF4E",3.75504900199798e-11,-1.56582100816051,0.009,0.092,6.70351347836679e-07,"0","EIF4E"
"XW6",3.83767229587715e-11,-0.588660375009771,0.009,0.092,6.85101258259989e-07,"0","XW6"
"HTA10",3.83767316646974e-11,-0.425326660139986,0.009,0.092,6.85101413678178e-07,"0","HTA10"
"AT4G25890",3.88776495931876e-11,-0.547275194993906,0.012,0.1,6.94043800537585e-07,"0","AT4G25890"
"CDC5",3.92100689338323e-11,-0.550610906030565,0.012,0.1,6.99978150606774e-07,"0","CDC5"
"DEG14",3.94309472283767e-11,0.317835420972101,0.034,0.145,7.03921269920981e-07,"0","DEG14"
"AT1G77030",3.98455930319261e-11,-0.337219961085848,0.012,0.1,7.11323526805944e-07,"0","AT1G77030"
"AT5G10780",4.23529180052846e-11,-0.360383460416255,0.017,0.111,7.56084292230341e-07,"0","AT5G10780"
"SR30",4.26963415632202e-11,0.336055040862383,0.038,0.151,7.62215089586608e-07,"0","SR30"
"ERS1",4.35213130110191e-11,-0.85481322765616,0.007,0.088,7.76942479872714e-07,"0","ERS1"
"AT5G10010",4.36095609795763e-11,-1.00230714653641,0.007,0.088,7.78517882607396e-07,"0","AT5G10010"
"AT5G09510",4.36132766252714e-11,-0.286931731221359,0.029,0.134,7.78584214314345e-07,"0","AT5G09510"
"HDT4",4.36979944133774e-11,-1.02753932463357,0.007,0.088,7.80096596267613e-07,"0","HDT4"
"PMH1",4.36980048080461e-11,-0.992706131914248,0.007,0.088,7.80096781833238e-07,"0","PMH1"
"AT2G16860",4.38753775365662e-11,-1.06674403984902,0.007,0.088,7.83263239782781e-07,"0","AT2G16860"
"HA1",4.47077281920164e-11,0.178410424899471,0.053,0.179,7.98122363683877e-07,"0","HA1"
"TRX2",4.49018175361291e-11,-0.686939549122268,0.014,0.103,8.01587246654977e-07,"0","TRX2"
"AT5G46030",4.56142400423352e-11,-0.557110506815381,0.014,0.103,8.14305413235768e-07,"0","AT5G46030"
"IAA8",4.57803331519049e-11,-0.280863446319217,0.019,0.114,8.17270507427805e-07,"0","IAA8"
"UDG4",4.78970329594417e-11,-1.01393309598155,0.005,0.084,8.55057832391954e-07,"0","UDG4"
"PKP-ALPHA",4.93847473003935e-11,0.140141609871895,0.031,0.137,8.81616508806625e-07,"0","PKP-ALPHA"
"ERF4",4.99446362950734e-11,-8.82768314284103,0,0.071,8.9161164713965e-07,"0","ERF4"
"smB",4.99446362950734e-11,-8.58027566108848,0,0.071,8.9161164713965e-07,"0","smB"
"LNG1",4.99446362950734e-11,-9.29864866133043,0,0.071,8.9161164713965e-07,"0","LNG1"
"RHL41",4.99446362950734e-11,-9.3659980716564,0,0.071,8.9161164713965e-07,"0","RHL41"
"ECIP1",5.13132514318866e-11,-3.25773128662535,0.002,0.075,9.16044164562039e-07,"0","ECIP1"
"AT5G16470",5.16546408566946e-11,-2.55099324236273,0.002,0.075,9.22138648573712e-07,"0","AT5G16470"
"AT5G51400",5.17689352059871e-11,-2.71948105181276,0.002,0.075,9.24179031297282e-07,"0","AT5G51400"
"DECOY",5.17689498624239e-11,-2.67647072152589,0.002,0.075,9.24179292943991e-07,"0","DECOY"
"AT1G15120",5.2093262876593e-11,-0.333400900692671,0.022,0.12,9.29968928872938e-07,"0","AT1G15120"
"AT3G15980",5.40252476983754e-11,-0.82981328890804,0.012,0.099,9.64458721911398e-07,"0","AT3G15980"
"AAPT2",5.45662790542527e-11,-0.193215539125352,0.009,0.091,9.74117213676519e-07,"0","AAPT2"
"AT3G13410",5.61736735348193e-11,-0.179466671210549,0.022,0.12,1.00281241994359e-06,"0","AT3G13410"
"NDPK1",5.70627618149474e-11,-0.365062408776719,0.017,0.109,1.01868442392044e-06,"0","NDPK1"
"BGAL5",6.10207592161074e-11,-1.4022216410575,0.007,0.087,1.08934259352595e-06,"0","BGAL5"
"EMB1144",6.27135075393011e-11,-1.18362409958161,0.01,0.094,1.1195615365916e-06,"0","EMB1144"
"GR1",6.31391125464618e-11,-0.146255787427287,0.019,0.113,1.12715943717944e-06,"0","GR1"
"AT3G44590",6.34045772221917e-11,-0.649971379297254,0.014,0.102,1.13189851257057e-06,"0","AT3G44590"
"AT5G67510",6.34045897510955e-11,-0.359810919476429,0.014,0.102,1.13189873623656e-06,"0","AT5G67510"
"AT4G33380",6.42425639852881e-11,-1.27181660430389,0.01,0.094,1.14685825226536e-06,"0","AT4G33380"
"RSW3",6.52402605739976e-11,-0.770438036884141,0.01,0.094,1.16466913176701e-06,"0","RSW3"
"AT1G25098",6.55133769952326e-11,0.352089916527434,0.139,0.333,1.16954480611889e-06,"0","AT1G25098"
"AT5G09890",6.65708037991076e-11,-1.72706712366944,0.005,0.083,1.18842198942167e-06,"0","AT5G09890"
"AIP3",6.75455966684503e-11,-1.30852505319631,0.005,0.083,1.20582399172517e-06,"0","AIP3"
"MTO2",6.77881332801641e-11,-0.159241432117608,0.021,0.116,1.21015375531749e-06,"0","MTO2"
"BZIP61",7.08032085795565e-11,-9.49073521398075,0,0.07,1.26397887956224e-06,"0","BZIP61"
"AT3G10720",7.08032300840035e-11,-9.65474147496454,0,0.07,1.26397926345963e-06,"0","AT3G10720"
"AT2G30060",7.27092472733436e-11,-3.58253613112458,0.002,0.074,1.29800548232373e-06,"0","AT2G30060"
"AL3",7.28061799375272e-11,-1.57883354268207,0.009,0.09,1.29973592424474e-06,"0","AL3"
"HTA7",7.30311216564279e-11,-3.33402902560398,0.002,0.074,1.30375158381055e-06,"0","HTA7"
"GAUT9",7.46954864738639e-11,-1.29956325506116,0.009,0.09,1.33346382453142e-06,"0","GAUT9"
"ELF5A-3",7.60314838782331e-11,-0.763398178074268,0.009,0.09,1.35731405019422e-06,"0","ELF5A-3"
"LHCA1",8.10819257326591e-11,1.42859078993607,0.351,0.249,1.44747453817943e-06,"0","LHCA1"
"CBSX3",8.18476790579836e-11,0.412750468637389,0.024,0.122,1.46114476654312e-06,"0","CBSX3"
"AGP16",8.27328257318802e-11,-0.494655322018242,0.019,0.112,1.47694640496553e-06,"0","AGP16"
"TWN2",8.58651401278582e-11,-0.975541445725398,0.007,0.086,1.53286448156252e-06,"0","TWN2"
"AT5G47690",8.67946288144334e-11,-0.318830432088663,0.014,0.101,1.54945771359527e-06,"0","AT5G47690"
"AT2G45820",8.67962924109561e-11,-0.618427046247634,0.019,0.112,1.54948741212039e-06,"0","AT2G45820"
"PDH-E1 BETA",9.0216754305353e-11,-0.505998290797938,0.014,0.101,1.61054949785916e-06,"0","PDH-E1 BETA"
"AT1G65820",9.08688936341175e-11,-0.520275002646539,0.01,0.093,1.62219148915627e-06,"0","AT1G65820"
"p24beta2",9.23649127387408e-11,-0.808359066423206,0.01,0.093,1.648898422212e-06,"0","p24beta2"
"EIF2 GAMMA",9.36488136076978e-11,-1.61761203853939,0.005,0.082,1.67181862052462e-06,"0","EIF2 GAMMA"
"D6PKL2",9.40379451033434e-11,-1.69648595386601,0.005,0.082,1.67876539598489e-06,"0","D6PKL2"
"NRPA2",9.46247259274695e-11,-1.47841687128424,0.005,0.082,1.68924060725719e-06,"0","NRPA2"
"PROPEP4",1.00338860645104e-10,-9.03988132700731,0,0.069,1.7912493402364e-06,"0","PROPEP4"
"AT5G65750",1.00338860645104e-10,-8.61621476811887,0,0.069,1.7912493402364e-06,"0","AT5G65750"
"AT5G42420",1.00877193948992e-10,-0.27778060911305,0.015,0.104,1.80085966637741e-06,"0","AT5G42420"
"AT4G26940",1.00946496946893e-10,-2.36390669990103,0.003,0.077,1.80209686349594e-06,"0","AT4G26940"
"SDH7.1",1.00946496946893e-10,-2.37717621693111,0.003,0.077,1.80209686349594e-06,"0","SDH7.1"
"NPSN11",1.01378518137633e-10,-2.07368720420025,0.003,0.077,1.80980930579302e-06,"0","NPSN11"
"AT1G13730",1.02029941028629e-10,-1.12665359660586,0.003,0.077,1.82143850724309e-06,"0","AT1G13730"
"AT4G23470",1.03220326100277e-10,-1.45336849200086,0.009,0.089,1.84268926154215e-06,"0","AT4G23470"
"APM1",1.03583291906183e-10,-0.281624541025314,0.022,0.118,1.84916892710917e-06,"0","APM1"
"AT4G39860",1.0367421470765e-10,-3.18454849509413,0.002,0.073,1.85079208096097e-06,"0","AT4G39860"
"AT2G32580",1.03674243938958e-10,-3.07545879317858,0.002,0.073,1.85079260279829e-06,"0","AT2G32580"
"AT4G29520",1.03729006279478e-10,-1.21380978661166,0.009,0.089,1.85177022010124e-06,"0","AT4G29520"
"AT4G16141",1.03903236179904e-10,-2.76468555699245,0.002,0.073,1.85488057228365e-06,"0","AT4G16141"
"COB",1.04107581437152e-10,-0.1970600984266,0.022,0.118,1.85852854381603e-06,"0","COB"
"AT3G05910",1.04240090165741e-10,-1.39257788696769,0.009,0.089,1.86089408963881e-06,"0","AT3G05910"
"TUA5",1.06687310037973e-10,0.438567270284086,0.07,0.207,1.90458185879789e-06,"0","TUA5"
"RABA1c",1.07148111007892e-10,-1.13456881954117,0.009,0.089,1.91280807771288e-06,"0","RABA1c"
"AT5G65360",1.07438650648216e-10,-0.632378930785255,0.012,0.097,1.91799479137196e-06,"0","AT5G65360"
"RCN1",1.0757001197071e-10,-1.01604546400488,0.009,0.089,1.92033985370112e-06,"0","RCN1"
"RNS2",1.07943911470047e-10,-0.637232336903527,0.012,0.097,1.92701470756328e-06,"0","RNS2"
"GRF6.1",1.17273491384168e-10,0.278316257255052,0.053,0.176,2.09356636819017e-06,"0","GRF6.1"
"PHOS34",1.19801005939974e-10,-1.50567034909739,0.007,0.085,2.13868755804041e-06,"0","PHOS34"
"ATRER1A",1.21747097298874e-10,-1.1757727849168,0.007,0.085,2.17342918097949e-06,"0","ATRER1A"
"AT5G20000",1.2431593145586e-10,-0.109650030697003,0.019,0.111,2.21928800835002e-06,"0","AT5G20000"
"SR34",1.27336529035193e-10,-0.295033669959986,0.014,0.1,2.27321171633627e-06,"0","SR34"
"AT1G51200",1.27693712633428e-10,0.372448771940048,0.031,0.134,2.27958815793195e-06,"0","AT1G51200"
"HTB11",1.29569019234777e-10,-0.764933550515854,0.01,0.092,2.31306613137924e-06,"0","HTB11"
"ARFA1F",1.33333184410564e-10,-1.73060196199063,0.005,0.08,2.38026400809738e-06,"0","ARFA1F"
"SKdZeta",1.34441498440172e-10,-1.43798893702474,0.005,0.08,2.40004963015395e-06,"0","SKdZeta"
"AT3G10610",1.35558814662853e-10,-1.21264630303205,0.005,0.08,2.41999595936125e-06,"0","AT3G10610"
"AT4G32330",1.36707369112769e-10,-0.468417554116035,0.015,0.103,2.44049995340115e-06,"0","AT4G32330"
"AT3G42050",1.36917500604342e-10,-0.485301955557416,0.022,0.117,2.44425122078872e-06,"0","AT3G42050"
"AT5G50460",1.39929221260284e-10,0.23227835409165,0.021,0.114,2.4980164579386e-06,"0","AT5G50460"
"AIL6",1.42147237440312e-10,-8.29171332757423,0,0.068,2.53761248278445e-06,"0","AIL6"
"ATR2",1.42462373052321e-10,-2.37818454244842,0.003,0.076,2.54323828373003e-06,"0","ATR2"
"AT3G27570",1.42736515607387e-10,-0.179080360798104,0.015,0.103,2.54813227662307e-06,"0","AT3G27570"
"AT3G20920",1.44296718246135e-10,-1.65152865568089,0.003,0.076,2.57598501413001e-06,"0","AT3G20920"
"AT4G24290",1.46798622923069e-10,-3.04624318328595,0.002,0.072,2.62064901642264e-06,"0","AT4G24290"
"XRN3",1.47122578236552e-10,-1.9209063015955,0.002,0.072,2.62643226667893e-06,"0","XRN3"
"GR-RBP3",1.47122578236552e-10,-2.26098308649707,0.002,0.072,2.62643226667893e-06,"0","GR-RBP3"
"AT5G42050",1.48137665815545e-10,-1.15960414225398,0.009,0.088,2.6445536101391e-06,"0","AT5G42050"
"AT3G06040",1.4945059697215e-10,-1.27384020162719,0.009,0.088,2.66799205714683e-06,"0","AT3G06040"
"ANNAT2",1.50627095232599e-10,-1.14946244972366,0.009,0.088,2.68899490409235e-06,"0","ANNAT2"
"AL2",1.51158548606047e-10,-0.344338530714279,0.012,0.095,2.69848240971514e-06,"0","AL2"
"AT5G41950",1.51158579260581e-10,-0.418858572389175,0.012,0.095,2.69848295695989e-06,"0","AT5G41950"
"AT5G46630",1.51812642465238e-10,-0.65089766373345,0.009,0.088,2.71015929328944e-06,"0","AT5G46630"
"TOPP1",1.59970648004831e-10,0.136253741290576,0.017,0.106,2.85579600818224e-06,"0","TOPP1"
"AGP12",1.65948164811751e-10,-1.38346908899636,0.015,0.102,2.96250663821937e-06,"0","AGP12"
"AT2G40290",1.69787815850875e-10,-1.22830398953533,0.007,0.084,3.03105208856982e-06,"0","AT2G40290"
"AT5G18230",1.70948334075057e-10,-0.58600992738007,0.014,0.099,3.05176965990792e-06,"0","AT5G18230"
"AT1G03910",1.71502757360189e-10,-0.700724474888679,0.007,0.084,3.0616672243941e-06,"0","AT1G03910"
"LARP1a",1.72886885843715e-10,-0.912678227564595,0.007,0.084,3.086376686082e-06,"0","LARP1a"
"CKA1",1.73234619799397e-10,-0.674933604022434,0.007,0.084,3.09258443265884e-06,"0","CKA1"
"UBP23",1.81834045310649e-10,-0.436017992239819,0.01,0.091,3.24610137688571e-06,"0","UBP23"
"AT1G27530",1.88966447131587e-10,-1.68510192710235,0.005,0.079,3.3734290141931e-06,"0","AT1G27530"
"AT1G29250",1.88966447131587e-10,-1.38981640796146,0.005,0.079,3.3734290141931e-06,"0","AT1G29250"
"RBP47C",1.89068370387537e-10,-0.275110771482299,0.024,0.119,3.37524854815831e-06,"0","RBP47C"
"AT5G26710",1.89748787838317e-10,-1.3809025611288,0.005,0.079,3.38739536048964e-06,"0","AT5G26710"
"AT4G31490",1.90928235507099e-10,-1.1945079393419,0.005,0.079,3.40845086027273e-06,"0","AT4G31490"
"EMB2753",1.9228105612194e-10,-0.249878530388672,0.015,0.102,3.43260141388888e-06,"0","EMB2753"
"PGLCT",1.92453592450435e-10,-0.739419337308504,0.015,0.102,3.43568153242517e-06,"0","PGLCT"
"AVA-P4",1.96110534804772e-10,-0.230914643623416,0.015,0.102,3.50096526733479e-06,"0","AVA-P4"
"AT2G39020",1.96462181823481e-10,-0.136687341193171,0.015,0.102,3.50724286991278e-06,"0","AT2G39020"
"AT2G30620",1.97521410423616e-10,-0.137806924282159,0.015,0.102,3.52615221888239e-06,"0","AT2G30620"
