"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT3G07110",6.79172303435353e-33,-2.22131328443078,0.014,0.248,1.21245839609279e-28,"0","AT3G07110"
"AT2G43460",6.82140315745658e-33,-1.46490037594099,0.031,0.288,1.21775689166915e-28,"0","AT2G43460"
"AT3G09630",9.43241230711825e-33,-1.355916220707,0.034,0.294,1.68387424506675e-28,"0","AT3G09630"
"AT5G47930",1.00738137257294e-32,-1.17288983050058,0.036,0.298,1.79837722631721e-28,"0","AT5G47930"
"AT2G27710",1.36417841536967e-32,-0.861331618476191,0.07,0.371,2.43533130711794e-28,"0","AT2G27710"
"RPS15",2.3099622633049e-32,-1.16450541878238,0.043,0.311,4.12374463245191e-28,"0","RPS15"
"AT5G27850",2.75331810323263e-32,-0.991435358834971,0.067,0.361,4.91522347789089e-28,"0","AT5G27850"
"AT4G39200",3.35962557819058e-32,-0.72493855788737,0.082,0.395,5.99760358218582e-28,"0","AT4G39200"
"AT2G41840",3.94683200711836e-32,-0.88028168622354,0.043,0.31,7.04588449910769e-28,"0","AT2G41840"
"UBC10",4.3650733999018e-32,-0.665525846847115,0.068,0.364,7.7925290335047e-28,"0","UBC10"
"AT3G56020",5.63794942784874e-32,-1.06367495819012,0.041,0.305,1.00648673185956e-27,"0","AT3G56020"
"AT1G51650",6.74253387416921e-32,-1.16740065130226,0.039,0.3,1.20367714721669e-27,"0","AT1G51650"
"TPX1",8.68432221769091e-32,-0.915732365021832,0.057,0.337,1.55032520230218e-27,"0","TPX1"
"AT1G70780",1.11390107634114e-31,-1.04401302259833,0.033,0.284,1.98853620148421e-27,"0","AT1G70780"
"NUC-L1",1.54388460219969e-31,-1.20612003846584,0.072,0.364,2.75614279184689e-27,"0","NUC-L1"
"ACP2",1.6452226598585e-31,-1.69772074515011,0.015,0.244,2.93705149237939e-27,"0","ACP2"
"EXPA9",2.11136252936083e-31,-4.0705435409875,0.003,0.214,3.76920438741496e-27,"0","EXPA9"
"AT3G60770",2.63491539657415e-31,-0.999365290111355,0.043,0.305,4.70385096596417e-27,"0","AT3G60770"
"AT2G47610",2.80973011663351e-31,-1.1815915354903,0.046,0.311,5.01593020421415e-27,"0","AT2G47610"
"AT2G25210",3.38620292865073e-31,-1.41043879841517,0.024,0.262,6.04504946822729e-27,"0","AT2G25210"
"RBCS1A",3.93477069443805e-31,1.30392688515638,0.622,0.379,7.0243526437108e-27,"0","RBCS1A"
"AT4G31985",4.04000870324581e-31,-0.773503056636557,0.055,0.329,7.21222353703443e-27,"0","AT4G31985"
"RPL16B",4.7866279577288e-31,-1.34193248651902,0.031,0.276,8.54508823013746e-27,"0","RPL16B"
"AT5G57290",5.28457614467997e-31,-1.20992759702522,0.033,0.28,9.43402533348268e-27,"0","AT5G57290"
"cICDH",5.31441408431243e-31,-1.58687060148584,0.022,0.256,9.48729202331454e-27,"0","cICDH"
"SAC52",5.36427988571951e-31,-0.838368778800781,0.08,0.381,9.57631245198646e-27,"0","SAC52"
"IPP2",6.28078131907816e-31,-2.417838726099,0.012,0.232,1.12124508108183e-26,"0","IPP2"
"AT3G16080",7.29811794963171e-31,-1.3577484827951,0.034,0.282,1.30286001636825e-26,"0","AT3G16080"
"ATL5",1.06515436182064e-30,-1.10050427821461,0.033,0.278,1.90151356672221e-26,"0","ATL5"
"UBQ5",1.18668095146503e-30,-0.617368157836301,0.048,0.312,2.11846283455536e-26,"0","UBQ5"
"AT2G17360",1.25023275510575e-30,-0.976481262642289,0.043,0.3,2.23191551441478e-26,"0","AT2G17360"
"AT2G40205",1.45501534791448e-30,-1.59806090247993,0.022,0.253,2.59749339909693e-26,"0","AT2G40205"
"AT3G04920",2.25561772255284e-30,-1.53946606061391,0.019,0.245,4.02672875830132e-26,"0","AT3G04920"
"AT1G18540",3.06326910810524e-30,-0.882918789288943,0.05,0.313,5.46854801178948e-26,"0","AT1G18540"
"PHT3%3B1",3.46590460153593e-30,-0.641285755824788,0.072,0.359,6.18733289466195e-26,"0","PHT3%3B1"
"ATMS1",3.60250887198109e-30,-0.830071049725893,0.159,0.523,6.43119883826064e-26,"0","ATMS1"
"AT5G02870",6.64913038934895e-30,-0.918879532662105,0.055,0.321,1.18700275710657e-25,"0","AT5G02870"
"AT3G24830",8.1525477460151e-30,-0.864752093533965,0.043,0.295,1.45539282361862e-25,"0","AT3G24830"
"AT2G21580",8.1780849475123e-30,-1.30093454232571,0.027,0.261,1.4599517248299e-25,"0","AT2G21580"
"AT4G17390",8.96552961740163e-30,-0.793837730699334,0.058,0.328,1.60052634729854e-25,"0","AT4G17390"
"AT5G27770",9.45084200663794e-30,-1.74035740915552,0.024,0.252,1.687164315025e-25,"0","AT5G27770"
"AT1G77940",1.26392129235525e-29,-0.810134073325312,0.045,0.297,2.25635229111259e-25,"0","AT1G77940"
"SAG24",1.28934275990834e-29,-1.31226142796863,0.022,0.248,2.30173469498836e-25,"0","SAG24"
"AT4G16720",1.91824777245246e-29,-0.915073255612395,0.05,0.307,3.42445592338213e-25,"0","AT4G16720"
"HSP81-2",2.20035626921484e-29,-1.58619878416485,0.021,0.242,3.92807601180233e-25,"0","HSP81-2"
