"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CBSX3",0.0283985382543428,0.916444305902577,0.117,0.018,1
"AT1G50670",0.0284066267598549,-0.338615971571282,0.152,0.035,1
"AT3G23390",0.0284066267598549,-1.041190040221,0.152,0.035,1
"B ALPHA",0.0287523561233608,-1.09087832270706,0.152,0.035,1
"GH9B7",0.0287523561233608,-0.361678787027255,0.152,0.035,1
"GSL03",0.0287523561233608,-0.695548455193891,0.152,0.035,1
"AT2G36170",0.0287523561233608,-0.949612131167811,0.152,0.035,1
"PDH-E1 ALPHA",0.0287918503018617,0.294059250294321,0.117,0.018,1
"HYD1",0.0287918503018617,1.15969149010576,0.117,0.018,1
"bZIP44",0.0287918503018617,0.712707248890369,0.117,0.018,1
"RPS5B",0.0287918503018617,0.781094126955358,0.117,0.018,1
"SUMO1",0.0287918503018617,0.877012294624601,0.117,0.018,1
"UBQ3",0.0287918503018617,0.987370898071065,0.117,0.018,1
"AT5G62580",0.0287918503018617,0.645162921413296,0.117,0.018,1
"AGP15",0.0288696004228249,-0.320768390704183,0.476,0.211,1
"AT1G51980",0.0291898435358747,-0.57340001574006,0.117,0.018,1
"AT1G55340",0.0291898435358747,0.599757530479146,0.117,0.018,1
"AT2G14900",0.0291898435358747,0.691896660117865,0.117,0.018,1
"ADK",0.0291898435358747,0.576081420322774,0.117,0.018,1
"TFIIB",0.0291898435358747,0.625176136141856,0.117,0.018,1
"AT3G05500",0.0291898435358747,-0.852945069791861,0.117,0.018,1
"AT3G13670",0.0291898435358747,0.322526066117073,0.117,0.018,1
"FASS",0.0291898435358747,-0.313108538871695,0.117,0.018,1
"AT5G19440",0.0291898435358747,0.714166755104032,0.117,0.018,1
"AT5G46630",0.0291898435358747,0.392803521952478,0.117,0.018,1
"AT5G55610",0.0291898435358747,-0.344349743683475,0.117,0.018,1
"AT4G19200",0.0296023417454779,0.536815104400757,0.179,0.053,1
"AT3G06355",0.0299323093078286,0.378812558041392,0.179,0.053,1
"AT5G14030",0.0310702516448244,-0.526013764043319,0.338,0.14,1
"TUB5",0.0323318091124943,0.269497285673446,0.179,0.053,1
"VLN2",0.0330467715624366,-0.5983244161261,0.179,0.053,1
"AGP12",0.0334080081622505,-2.15816152161442,0.31,0.368,1
"AT4G32130",0.0334095592174475,-0.777630996077374,0.179,0.053,1
"AT3G17020",0.0336777694324928,0.714481320238908,0.145,0.035,1
"TUB7",0.0337755739089503,-1.26406143867377,0.179,0.053,1
"AT2G23090",0.0338769593458481,-0.746685604769929,0.241,0.088,1
"AT1G79010",0.0344972841098605,0.279150606488947,0.145,0.035,1
"AT4G24780",0.0344972841098605,0.689603417482018,0.145,0.035,1
"VAG2",0.0349133908049049,0.609475923876649,0.145,0.035,1
"ASP3",0.0352802277241478,1.92203567134026,0.11,0.018,1
"MOR1",0.0353337754883775,-0.450626728877333,0.145,0.035,1
"Cand1",0.035758472155885,-0.598879729218781,0.145,0.035,1
"AT2G26730",0.035758472155885,-0.725921774024249,0.145,0.035,1
"FLA8",0.035758472155885,-0.351610272828714,0.145,0.035,1
"AT1G22410",0.0361818966927397,-0.550356475188011,0.207,0.07,1
"CUE1",0.036187514947915,-0.65672622632356,0.145,0.035,1
"ABCC5",0.0362583361269549,1.86785296501234,0.11,0.018,1
"AT3G13930",0.0362583361269549,1.25632536466997,0.11,0.018,1
"PBA1",0.0362583361269549,1.40879059128697,0.11,0.018,1
"AT5G49540",0.0362583361269549,1.29155906650826,0.11,0.018,1
"AT5G50180",0.0362583361269549,0.975626475101914,0.11,0.018,1
"AT5G51400",0.0362583361269549,1.17831249904784,0.11,0.018,1
"PIS1",0.0367559967228569,1.3978838159763,0.11,0.018,1
"UBC35",0.0367559967228569,1.049489883677,0.11,0.018,1
"CPK6",0.0367559967228569,0.774147549392,0.11,0.018,1
"AT4G20980",0.0367559967228569,0.457581293019815,0.11,0.018,1
"AT4G28770",0.0367559967228569,0.450908972456296,0.11,0.018,1
"AT5G09890",0.0367559967228569,0.679357958910657,0.11,0.018,1
"UAP56b",0.0367559967228569,0.992479569103639,0.11,0.018,1
"AT5G11280",0.0367559967228569,0.778426242031644,0.11,0.018,1
"AT5G41060",0.0367559967228569,0.436901544558102,0.11,0.018,1
"AT5G41670",0.0367559967228569,0.826136930508425,0.11,0.018,1
"AT1G22790",0.0372594638889151,0.636910125182387,0.11,0.018,1
"RAB18",0.0372594638889151,0.647685419892055,0.11,0.018,1
"CKL2",0.0372594638889151,-0.489879904260689,0.11,0.018,1
"AT1G79210",0.0372594638889151,0.379355710290829,0.11,0.018,1
"AT2G01820",0.0372594638889151,1.06283831401375,0.11,0.018,1
"SMO2-2",0.0372594638889151,0.363196934232228,0.11,0.018,1
"AT2G45300",0.0372594638889151,0.384441646063545,0.11,0.018,1
"SPT1",0.0372594638889151,0.552748273154393,0.11,0.018,1
"AT5G38830",0.0372594638889151,0.269434187087695,0.11,0.018,1
"CB5-D",0.037666568409068,-0.386690867218558,0.207,0.07,1
"AT1G09690",0.0410101908470269,-0.678376634764785,0.172,0.053,1
"ACT11",0.0414525177106415,-1.45362972475101,0.172,0.053,1
"RAN-1",0.0414525177106415,-0.920066702340041,0.172,0.053,1
"SCN1",0.041898877995206,-1.07934035038675,0.172,0.053,1
"AT4G34670",0.0419304411178438,-0.782283105268586,0.234,0.088,1
"NIT1",0.0428537259872181,0.575958528722082,0.138,0.035,1
"YKT61",0.0433639468593105,0.52251392557078,0.138,0.035,1
"UBA1",0.0438792906782133,0.291800897495988,0.138,0.035,1
"ATB BETA",0.0443997961516026,-0.272202217971658,0.138,0.035,1
"AT3G13410",0.0443997961516026,0.316742174347836,0.138,0.035,1
"AT3G44330",0.0443997961516026,0.277274776922349,0.138,0.035,1
"AT1G45688",0.04545617893299,-0.730852676593167,0.138,0.035,1
"NTF2B",0.0454564475608118,-1.00534813392206,0.138,0.035,1
"NAD-ME1",0.0454564475608118,-0.656603191145067,0.138,0.035,1
"CXIP4",0.0454564475608118,-1.17248430079522,0.138,0.035,1
"GR1",0.0454564475608118,-0.773591604199845,0.138,0.035,1
"HSD2",0.0454564475608118,-0.730450965886408,0.138,0.035,1
"IDH-V",0.0454564475608118,-0.694087791350098,0.138,0.035,1
"MYA2",0.0454564475608118,-0.782391101123391,0.138,0.035,1
"AT4G02480",0.0456309277848218,1.289426685314,0.103,0.018,1
"EMB1467",0.0456309277848218,1.68939891986718,0.103,0.018,1
"EMB2756",0.0462526246167089,0.903431300637607,0.103,0.018,1
"LysoPL2",0.0462526246167089,1.21237497667506,0.103,0.018,1
"SIP1A",0.0462526246167089,1.32042116011789,0.103,0.018,1
"AT3G27390",0.0462526246167089,1.79249714784065,0.103,0.018,1
"UBQ14",0.0462526246167089,1.23014631783949,0.103,0.018,1
"PNC2",0.0462526246167089,1.19046001336248,0.103,0.018,1
"CCT1",0.046881438100113,0.936420255938702,0.103,0.018,1
"AT3G53670",0.046881438100113,0.60834224633982,0.103,0.018,1
"AGD6",0.046881438100113,0.740225210493864,0.103,0.018,1
"NPY5",0.046881438100113,0.551344534454866,0.103,0.018,1
"EIN2",0.046881438100113,1.01971258854401,0.103,0.018,1
"SNRK2.1",0.046881438100113,0.797757930690137,0.103,0.018,1
"AT2G40205",0.047053526039223,-1.27298357565855,0.2,0.07,1
"AT3G53430",0.047053526039223,-1.23840896433967,0.2,0.07,1
"AT1G54410",0.0473864183171854,-0.342164788599881,0.317,0.14,1
"EIF4B2",0.0475174289581112,-0.432305348790344,0.103,0.018,1
"VP2",0.0475174289581112,-0.508213343679092,0.103,0.018,1
"EMB2816",0.0475174289581112,-0.595735822734648,0.103,0.018,1
"AT2G29020",0.0475174289581112,-0.29168001953236,0.103,0.018,1
"AT3G17430",0.0475174289581112,-1.06665754622467,0.103,0.018,1
"UBC14",0.0475174289581112,0.301898756638176,0.103,0.018,1
"AT4G01290",0.0475174289581112,-0.836214041470168,0.103,0.018,1
"FAH2",0.0475174289581112,-0.402960406889751,0.103,0.018,1
"VEL1",0.0475174289581112,-0.2722051620022,0.103,0.018,1
"HSP17.6A",0.0475174289581112,-0.271882503401599,0.103,0.018,1
"IPP1",0.0475174289581112,-0.648804335299998,0.103,0.018,1
"CAM6",0.0475174289581112,0.441531158719857,0.103,0.018,1
"SKD1",0.0497041962905423,-0.983673469449982,0.166,0.053,1
"GRP2B",0.0518456275507067,-0.712899575779271,0.166,0.053,1
"PERK1",0.0518456275507067,-0.936785022404307,0.166,0.053,1
"GRP2",0.0521811437470029,-0.710171596018101,0.228,0.088,1
"PYR1",0.0531511169913347,0.764666722942893,0.131,0.035,1
"EIF2",0.0537752823607851,1.14962441702683,0.131,0.035,1
"DL1",0.0537752823607851,0.594436878846905,0.131,0.035,1
"AT2G32730",0.0556845970045382,0.748031099442843,0.131,0.035,1
"FRO1.1",0.0558155185535838,-0.995621143472633,0.193,0.07,1
"AT1G64650",0.0563334535514852,-0.620330309639031,0.131,0.035,1
"VMA10",0.0569885922757928,-0.805493600613864,0.131,0.035,1
"BIG",0.0569885922757928,-1.29026581820648,0.131,0.035,1
"ATR2",0.0569885922757928,-1.34966810758605,0.131,0.035,1
"AT4G31490",0.0569885922757928,-0.443963438475699,0.131,0.035,1
"NACA3",0.0569885922757928,-1.27115970354423,0.131,0.035,1
"AT5G27430",0.0569885922757928,-1.24894290917732,0.131,0.035,1
"AT5G35530",0.0569885922757928,-0.464891647348687,0.131,0.035,1
"ERD14",0.0602061373483954,-0.882217181577499,0.221,0.088,1
"PHYA",0.0607494350642128,-0.777796997699345,0.221,0.088,1
"HOT5",0.061396287882551,-0.902687993277601,0.159,0.053,1
"AT1G60070",0.0620365325970726,-0.652534915846568,0.159,0.053,1
"AT3G14600",0.0626822920163618,-0.529075049513918,0.159,0.053,1
"VDAC1",0.0639904899910858,-1.66585723788425,0.159,0.053,1
"CPK5",0.0639904899910858,-1.96579766735785,0.159,0.053,1
"SCPL49",0.0665837901170423,0.51973511736989,0.124,0.035,1
"LAX3",0.0665959596999633,-0.286008461764075,0.248,0.105,1
"AT3G15980",0.0673527492954146,0.678878738202417,0.124,0.035,1
"RCN1",0.0681290015959686,0.553260188267323,0.124,0.035,1
"RCAR3",0.0705020005969474,-0.765868968956244,0.124,0.035,1
"GTE7",0.0706052950733675,-0.521218061602335,0.214,0.088,1
"AT1G48230",0.0713079090594229,-0.473710625892358,0.124,0.035,1
"DPE2",0.0713079090594229,-0.838275715568182,0.124,0.035,1
"RPL23AB",0.0713079090594229,-0.769292357566342,0.124,0.035,1
"PGLCT",0.0713079090594229,-1.01193169342534,0.124,0.035,1
"AGP16",0.0731307108300228,0.254826709540918,0.179,0.07,1
"AT4G26230",0.0764173617931998,-0.672709852926741,0.152,0.053,1
