"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT5G09510",0.0032145033877589,-2.09114998464791,0.029,0.105,1
"PSBR",0.00377312009388046,1.53063550410527,0.286,0.105,1
"SSR16",0.0038479586161975,9.26203413212734,0.13,0,1
"AT4G01310",0.00422880813943247,3.63856794768377,0.156,0.018,1
"AT4G29390",0.00477622039410428,-1.82282310542038,0.031,0.105,1
"LHCB3",0.00485375895045091,1.24179746059426,0.375,0.193,1
"AT2G45180",0.00490275525732776,1.91639486030516,0.231,0.07,1
"PRPS20",0.00539691887427916,8.9221906496052,0.122,0,1
"PETC",0.00577247502032318,9.19473090373982,0.12,0,1
"PGK1",0.00577253946892352,8.98331891808875,0.12,0,1
"RBCS1B",0.0057858147325478,2.92735873222349,0.152,0.018,1
"AT3G60750",0.00581825924062353,2.31491436180801,0.199,0.053,1
"RCA",0.00633900506715537,1.71936625201374,0.26,0.105,1
"ROC4",0.00646893294357568,2.48624882052469,0.151,0.018,1
"FSD1",0.00673040914049661,3.64666029359929,0.144,0.018,1
"Cpn60beta2",0.00687963788895155,3.21650220703735,0.146,0.018,1
"LHB1B1",0.00729788619233286,2.9331868279638,0.147,0.018,1
"AT3G11630",0.00791986351083253,2.07972220501162,0.195,0.053,1
"NPQ4",0.008067062053448,8.88562977523206,0.111,0,1
"CA1",0.008067062053448,9.0710351223053,0.111,0,1
"ERD4",0.00883536457928473,-1.1824175372755,0.033,0.105,1
"PSAN",0.00914671116173416,2.52566729249088,0.183,0.053,1
"HSP21",0.00921554908118527,8.84887403596906,0.108,0,1
"2-Cys Prx B",0.0092156148381311,8.96357811162087,0.108,0,1
"AT3G54210",0.0105233791997917,8.77082083362583,0.104,0,1
"PYK10",0.0112221151630862,3.51170050450033,0.132,0.018,1
"AT3G16080",0.0112619894087163,-1.50375986452558,0.034,0.105,1
"AGO1",0.0114037209704675,-1.19006443176217,0.034,0.105,1
"NIT1",0.0117834289983677,2.480620196554,0.158,0.035,1
"CPN20",0.0118750457586977,2.06059267360977,0.183,0.053,1
"CPN60B",0.0119747281721473,3.46484093987426,0.13,0.018,1
"PMSR4",0.012012234631758,8.75310962927772,0.101,0,1
"LHCB4.2",0.0120122385038539,8.82676049357227,0.101,0,1
"emb1473",0.0120122462480476,8.70400048022135,0.101,0,1
"PSAH2",0.012815418728429,2.79315121604226,0.132,0.018,1
"RPL21C",0.0134270392903172,3.52971866197527,0.127,0.018,1
"PSBQ-2",0.0134878117831692,2.87561069495773,0.151,0.035,1
"LHCB5",0.0137067449434646,1.45516556809144,0.19,0.053,1
"RBP31",0.0147732902699315,2.64993974712001,0.128,0.018,1
"PCK1",0.0147755913773123,1.87692450774823,0.216,0.088,1
"CRD1",0.0152400531678547,1.66313585501883,0.156,0.035,1
"LCR69",0.0170219083397954,-1.05190462647367,0.146,0.263,1
"TUB4",0.0177392356387562,-1.6436204341099,0.038,0.105,1
"TUA4",0.01814956319292,-1.38466367463602,0.038,0.105,1
"AT4G40040",0.0189447570433109,-1.64623236354533,0.05,0.123,1
"PSAD-1",0.0202257010095649,2.67169807164757,0.142,0.035,1
"AT5G65220",0.020959575878742,3.03932928136234,0.116,0.018,1
"PSBP-1",0.0224303233998217,1.49213594533003,0.214,0.088,1
"MT2A",0.022481793358184,1.26483357835379,0.274,0.14,1
"DRT112",0.0229093526921055,1.54015814433471,0.211,0.088,1
"TIP2",0.0230061137161614,-0.665890897221106,0.171,0.298,1
"CCR1.2",0.0230079730124141,-0.553840983095027,0.241,0.386,1
"CP29",0.0237858610923881,1.64595441648334,0.192,0.07,1
"GOX1",0.0241059118165159,3.39518171497031,0.111,0.018,1
"GGT1",0.0255762047824591,2.71140456118461,0.113,0.018,1
"AT5G08670",0.0267312227027593,-1.23608353547691,0.041,0.105,1
"LHCA2",0.0268688786702221,1.44174632012482,0.212,0.088,1
"cpHsc70-1",0.0275519032466509,2.1837382889736,0.158,0.053,1
"PSBQA",0.0277109794425947,1.48282449377429,0.142,0.035,1
"LTP2",0.0311732116999388,2.60660672103888,0.132,0.035,1
"AT5G08690",0.032547585651161,-0.904656579497642,0.051,0.123,1
"GSTU19",0.0328320009756299,1.72382529413707,0.195,0.088,1
"RCI2A",0.0358423194826639,-0.856381552666341,0.041,0.105,1
"AT1G78040",0.0360709233244349,-0.847926593799611,0.075,0.158,1
"PRPL28",0.0364128144314397,2.80427183948779,0.103,0.018,1
"PSI-P",0.0382493538976691,2.2351778115341,0.127,0.035,1
"EMB3105",0.0390009713398532,2.69839967750924,0.123,0.035,1
"GAPA",0.0406508994714307,1.93635079452372,0.128,0.035,1
"PSAG",0.0408607103895536,1.42086836064492,0.197,0.088,1
"PDE334",0.0410815088145645,2.36429541613476,0.101,0.018,1
"RPL18",0.0419589014230506,-1.04148093158538,0.065,0.14,1
