"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT2G17360",8.74928235360625e-27,-2.15379418163061,0.276,0.988,1.56192188576579e-22
"AT3G02080",8.91149166823227e-27,-2.62987580654848,0.124,0.901,1.59087949261283e-22
"AT3G16080",9.46853158621832e-27,-2.03413918559059,0.207,0.975,1.6903222587717e-22
"AT4G34670",9.88034835176883e-27,-2.22510647959773,0.234,0.975,1.76383978775777e-22
"AT3G53740",1.10496847384262e-26,-1.83201544140865,0.262,1,1.97258971950385e-22
"RPL23AB",1.96826205101939e-26,-2.49069636486545,0.124,0.914,3.51374141347981e-22
"FIB2",2.11751629108746e-26,-6.13204790921592,0.014,0.654,3.78019008284934e-22
"AT3G62530",2.47276402114866e-26,-3.36900963712276,0.055,0.778,4.41437833055459e-22
"AT3G01790",3.68704818836728e-26,-3.16332397351216,0.055,0.753,6.58211842587326e-22
"HDA3",3.72371452001598e-26,-4.73401116531827,0.007,0.642,6.64757516113253e-22
"AT1G77030",4.15792370578491e-26,-4.04526772416813,0.021,0.679,7.42272539956723e-22
"AT2G40360",4.59922782586347e-26,-1.8723340973487,0.041,0.728,8.21054151473146e-22
"SPDS2",4.78121594218738e-26,-4.27086211570039,0.034,0.704,8.5354266999929e-22
"emb2386",4.88185989378112e-26,-1.84701942916154,0.448,1,8.71509628237806e-22
"AT1G08360",5.79106830556495e-26,-2.36295393152169,0.2,0.938,1.03382151390945e-21
"AT3G60245",9.2228824880715e-26,-2.06822704113378,0.352,0.975,1.64646898177052e-21
"AT3G11120",9.29323013860597e-26,-2.079537817735,0.152,0.914,1.65902744434394e-21
"AT5G28060",9.36082724171358e-26,-1.84464139244143,0.255,0.988,1.67109487919071e-21
"EMB1080",1.00819427500111e-25,-1.9809977224405,0.283,0.988,1.79982841973198e-21
"AT1G18540",1.06199805477492e-25,-2.16464572587144,0.241,0.963,1.89587892738418e-21
"AT2G19730",1.11891060851677e-25,-2.0808644378857,0.241,0.988,1.99747921832414e-21
"AT1G09690",1.4896103112585e-25,-2.20635812019243,0.172,0.938,2.65925232765868e-21
"AT2G37190",1.86463246372747e-25,-2.23005427681301,0.262,0.975,3.32874187424627e-21
"AT5G58420",1.8661516756017e-25,-1.99102896868495,0.221,0.963,3.33145397128416e-21
"AT4G15000",2.25840039749583e-25,-2.16954526126847,0.255,0.963,4.03169638960956e-21
"RPL5B",2.35553876654509e-25,-2.24749935753729,0.297,0.963,4.20510780603629e-21
"HSP70",2.39027041634008e-25,-1.69697696678034,0.159,0.926,4.26711074725032e-21
"AT2G43460",2.40802260325405e-25,-1.87459363862361,0.221,0.975,4.29880195132913e-21
"AT3G56340",2.85208707457838e-25,-1.90311884948005,0.214,0.963,5.09154584553733e-21
"P5CR",2.96182756352443e-25,-2.04882163734721,0.145,0.889,5.28745456640381e-21
"AT1G07930",3.05773485433724e-25,-1.32959561903878,0.172,0.963,5.45866826196284e-21
"AT1G77940",3.45412618010702e-25,-1.63112284998763,0.2,0.988,6.16630605672705e-21
"HSP60",3.47947076825732e-25,-1.87597916462237,0.234,0.963,6.21155121549297e-21
"HIT3",3.75109984636168e-25,-1.96901373597955,0.076,0.802,6.69646344572486e-21
"AT4G18100",3.90278232032494e-25,-1.95410596117235,0.283,0.975,6.96724699824409e-21
"mtHsc70-1",3.91053744078937e-25,-3.42296978461681,0.048,0.728,6.98109143929719e-21
"AT1G04480",4.47026154064365e-25,-1.82430745857578,0.166,0.914,7.98031090235704e-21
"AT5G27700",4.62146809543256e-25,-2.43625875018478,0.11,0.864,8.2502448439662e-21
"RPS11-BETA",4.63562934275804e-25,-2.08890465966309,0.179,0.926,8.27552550269165e-21
"AT2G44860",4.65710341180551e-25,-4.40360888835408,0.014,0.642,8.3138610107552e-21
"RPS15AD",5.26542872416561e-25,-2.15602051623327,0.103,0.827,9.39984335838045e-21
"AT1G70600",6.17738796274765e-25,-2.0250378547771,0.241,0.963,1.10278729910971e-20
"AT2G20450",9.72768934765923e-25,-2.13244725950354,0.069,0.765,1.73658710234413e-20
"AT1G29418",1.01450077793079e-24,-4.93634305900454,0.014,0.63,1.81108678876204e-20
"AT5G46430",1.20516644601113e-24,-2.67835049804252,0.083,0.79,2.15146313941907e-20
"AT3G24080",1.21148350905686e-24,-4.32148353569382,0.014,0.63,2.16274036036831e-20
"AT3G58700",1.44957127460484e-24,-1.96584212932264,0.055,0.741,2.58777463942457e-20
"UBC11",2.02242472170119e-24,-3.64339232799142,0.041,0.691,3.61043261318096e-20
"AT2G25210",2.04005999557681e-24,-1.80308508827609,0.234,0.963,3.64191510410372e-20
"AT5G20290",2.0831300121807e-24,-2.0126214368571,0.331,0.988,3.71880369774498e-20
"AT3G09200",2.1151714880536e-24,-1.73578316204654,0.345,1,3.77600414047329e-20
"AT5G56670",2.131822756893e-24,-2.06637078173957,0.207,0.951,3.80572998560538e-20
"RIP1",2.23871423919617e-24,-2.60310175236107,0.055,0.728,3.99655265981301e-20
"AT1G50920",2.52385684136706e-24,-2.28613151475517,0.034,0.691,4.50558923320847e-20
"XYL1",3.03987234239674e-24,-3.27919150085285,0.048,0.716,5.42678010564666e-20
"AT3G55750",3.74941782128868e-24,-2.33032890501242,0.186,0.938,6.69346069456455e-20
"AT3G06680",3.94621817296573e-24,-2.13122801052161,0.069,0.765,7.04478868237843e-20
"AT3G58610",4.01688927813319e-24,-2.0213071452303,0.193,0.963,7.17095073932337e-20
"AT1G30880",4.92756759825661e-24,-4.08726754201378,0.034,0.667,8.7966936764077e-20
"AT3G09500",5.55663106659691e-24,-1.85903459391291,0.186,0.951,9.9196977800888e-20
"AT5G47930",7.00510101562703e-24,-1.65954933461416,0.241,1,1.25055063330974e-19
"AT3G52580",7.82255984169962e-24,-2.12908294710366,0.117,0.84,1.39648338294022e-19
"AT2G09990",8.24764758086195e-24,-3.43814210261425,0.048,0.704,1.47237004613547e-19
"AT3G04920",1.08679077057573e-23,-1.96880052273463,0.2,0.951,1.94013888363179e-19
"AT1G79520",1.10186886370294e-23,-2.45129565056132,0.028,0.654,1.96705629548249e-19
"ECT3",1.29407232096766e-23,-2.22152058735823,0.069,0.765,2.31017790739147e-19
"SAG24",1.47075071466142e-23,-2.08395909015762,0.2,0.926,2.62558417581356e-19
"AT3G53890",1.79407398877678e-23,-1.78435895316491,0.159,0.901,3.20278088476431e-19
"AT5G04600",1.95700638000387e-23,-3.05472316310261,0.048,0.704,3.49364778958292e-19
"emb2171",2.32328310603585e-23,-1.65451320806448,0.4,1,4.1475250008952e-19
"AT3G49910",2.44602347350434e-23,-1.75694485338249,0.352,1,4.36664110489994e-19
"AT2G27720",2.87109599840164e-23,-1.91300859002504,0.31,0.988,5.1254805763466e-19
"AT2G43110",3.27804009198175e-23,-8.50716302638694,0,0.556,5.85195717220583e-19
"AT5G04800",4.06862052176662e-23,-2.3258444812827,0.11,0.802,7.26330135545777e-19
"AT2G31410",4.53108040481336e-23,-3.3576218407113,0.041,0.679,8.0888847386728e-19
"P40",4.87617033622319e-23,-1.77759356339183,0.324,1,8.70493928422563e-19
"AT4G14320",5.22706399269984e-23,-1.84937749811182,0.11,0.827,9.33135463976775e-19
"AT1G25260",6.21737454061334e-23,-3.89145068313989,0.028,0.63,1.10992570299029e-18
"RACK1B-AT",6.45395027750423e-23,-2.1932630008083,0.097,0.778,1.15215920354006e-18
"AN3",6.54479821169574e-23,-3.19661607707142,0.062,0.704,1.16837737675192e-18
"LARP1a",6.90322546099383e-23,-4.91385722136003,0.014,0.593,1.23236380929662e-18
"AT5G02050",7.83779303760543e-23,-3.07530772040366,0.041,0.654,1.39920281307332e-18
"AT1G52300",8.02087505840094e-23,-1.60025408371317,0.359,1,1.43188661542574e-18
"AT5G35530",9.3322666365986e-23,-1.63150657990803,0.131,0.877,1.66599623996558e-18
"AT5G47210",1.07893073432539e-22,-2.56777543057361,0.083,0.753,1.92610714691768e-18
"AT1G09590",1.07974530525921e-22,-1.84222842009807,0.166,0.901,1.92756131894875e-18
"AT2G40510",1.29455691872911e-22,-2.7858368340151,0.09,0.765,2.31104301131521e-18
"AT1G22190",1.2982537210545e-22,-1.95163661925631,0.048,0.691,2.31764254282649e-18
"AT5G15550",1.41205519846761e-22,-5.31417731587152,0.014,0.58,2.52080094030439e-18
"AT4G25730",1.60704147178942e-22,-2.27099963085777,0.028,0.63,2.86889043543847e-18
"AT3G43980",1.63568940965958e-22,-3.12233807176908,0.062,0.704,2.92003273412429e-18
"ERD10",1.72613595498053e-22,-1.83886401488694,0.069,0.741,3.08149790683124e-18
"GR-RBP3",1.73035830898922e-22,-5.18452529647976,0.014,0.58,3.08903565320755e-18
"AT5G27850",2.07236507113621e-22,-1.80407179129911,0.31,0.963,3.69958612499237e-18
"AT2G39390",2.16817597842477e-22,-1.80011141125582,0.131,0.84,3.8706277566839e-18
"EXT3",2.30238848200582e-22,6.44438904391711,0.821,0.259,4.11022391807679e-18
"AT3G06700",2.76063642758122e-22,-1.44085374007045,0.372,1,4.92828815051799e-18
"AT1G01100",2.78296817295258e-22,-1.73410092012479,0.283,0.988,4.96815478235495e-18
"AT3G23620",3.77015035018985e-22,-1.310905540936,0.034,0.63,6.73047240515892e-18
"AT5G22440",4.44370810943463e-22,-1.6214742540408,0.097,0.79,7.9329077169627e-18
"AT3G05560",4.63933637310585e-22,-1.60202544304182,0.234,0.938,8.28214329326856e-18
"RPS10B",4.85873982379834e-22,-1.87383859605042,0.269,0.988,8.6738223334448e-18
"PYK10",4.86640980579498e-22,-1.81153341091087,0.034,0.642,8.6875147853052e-18
"AT4G34555",4.95527966546608e-22,-1.28163412201448,0.034,0.63,8.84616525879005e-18
"AT5G48760",5.11192353193609e-22,-2.43284997023061,0.062,0.704,9.12580588921231e-18
