"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008152","metabolic process",104,0.516574438287568,1.87883796691661,3.0514298386562e-05,0.00274628685479058,0.0021520610441049,93,"tags=60%, list=44%, signal=66%","LHCB6/GAPB/FBA2/SSR16/PETC/CA1/PGK1/PRPS20/HSP21/LHCB4.2/emb1473/GER3/RBCS3B/GER1/LHCB2.2/CAB3/FSD1/RPL21C/PYK10/CPN60B/GOX1/RBCS1A/PSAO/LHB1B1/CAB2/PSBQ-2/PRPL28/GGT1/EMB3105/RBP31/LTP2/ACP4/PSAN/PORB/ROC4/NIT1/PDE334/ICL/PSI-P/RPL12-A/cpHsc70-1/MLS/RPL15/GAPA/SHM1/LHCB4.1/PCK1/LHCA4/LHCA1/LHCB2.1/GSTU19/CLPC1/CRD1/DRT112/PSBR/PSBP-1/PSBQA/LHCB5/LHCA2/PSAG/LHB1B2/PSRP5"
"GO:0015979","photosynthesis",35,0.601885417100739,1.87269573590391,0.000454295071952955,0.020443278237883,0.0160198788530779,101,"tags=94%, list=48%, signal=59%","LHCB6/GAPB/PETC/CA1/PGK1/LHCB4.2/RBCS3B/LHCB2.2/CAB3/RBCS1A/PSAO/LHB1B1/CAB2/PSBQ-2/PSAN/PSI-P/GAPA/LHCB4.1/LHCA4/LHCA1/LHCB2.1/PSBR/PSBP-1/PSBQA/LHCB5/LHCA2/PSAG/LHB1B2/LHCB3/CAB1/PSBO1/FNR1/PSBW"
"GO:0006810","transport",17,-0.623569355624631,-1.97191965461021,0.00202031261485958,0.0418531393184651,0.0327971968928323,53,"tags=59%, list=25%, signal=48%","HA1/PIP1B/CAT3/PIP3/ACT7/DELTA-TIP/SIP3/LAX3/WAT1/XYP2"
"GO:0009416","response to light stimulus",35,0.559936235761507,1.74217578844107,0.00268482150162805,0.0418531393184651,0.0327971968928323,24,"tags=29%, list=11%, signal=30%","LHCB6/GAPB/PETC/NPQ4/HSP21/LHCB4.2/PMSR4/LHCB2.2/CAB3/FSD1"
