"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT1G70570",2.08672417430252e-07,1.54894756037108,0.122,0.01,0.00372521999596486
"HSP60-2",2.08672417430252e-07,1.61290779591213,0.122,0.01,0.00372521999596486
"SAR2",2.08672417430252e-07,1.8654123376737,0.122,0.01,0.00372521999596486
"BTI3",2.08672417430252e-07,1.44015278295727,0.122,0.01,0.00372521999596486
"AT3G07230",2.74625595274695e-07,0.845541368122423,0.244,0.043,0.00490261612684386
"ACT7",2.91514077763986e-07,0.726210552683638,0.244,0.043,0.00520410931624267
"mtACP2",3.74800394976456e-07,0.972246212396239,0.171,0.022,0.0066909366511197
"AT3G45030",3.74800394976456e-07,1.1991044257853,0.171,0.022,0.0066909366511197
"AT5G62890",3.74800394976456e-07,0.840827431922792,0.171,0.022,0.0066909366511197
"GR",3.74801720464702e-07,0.639757844349248,0.171,0.022,0.00669096031373586
"LP1",4.05363387494543e-07,0.648226278351241,0.293,0.06,0.00723654719355258
"HSP81-3",4.24866713317515e-07,1.28133113635054,0.195,0.029,0.00758472056614428
"AT5G02610",6.49177963259446e-07,1.40021762709012,0.146,0.017,0.0115891250001076
"AT5G08060",6.60226995851058e-07,1.90440816614264,0.146,0.017,0.0117863723299331
"GRF8.1",7.06274822374135e-07,0.844744821128975,0.146,0.017,0.0126084181290231
"AT2G42310",7.06277782450447e-07,1.32845228582898,0.146,0.017,0.0126084709723054
"AT2G47390",7.06277782450447e-07,0.890993642160107,0.146,0.017,0.0126084709723054
"ADNT1",7.06277782450447e-07,0.99583131842332,0.146,0.017,0.0126084709723054
"G2484-1",7.06277782450447e-07,1.16064400282842,0.146,0.017,0.0126084709723054
"RAN3",7.06277782450447e-07,1.49370524344189,0.146,0.017,0.0126084709723054
"ATOZI1",7.49761971576088e-07,0.938531168435945,0.22,0.038,0.0133847507165763
"AT1G12310",8.40274318211502e-07,1.11594559618744,0.195,0.031,0.0150005771287117
"AT3G09200",9.10206446325434e-07,0.742765871147241,0.317,0.072,0.0162490054798017
"VHA-A3",9.21650093488571e-07,0.8219373621501,0.195,0.031,0.016453297468958
"TUA2",9.33880429947945e-07,1.04057532528482,0.195,0.031,0.0166716334354307
"AT2G34040",9.52242012974415e-07,1.23189345414306,0.171,0.024,0.0169994244156193
"RPL16B",9.5880663029357e-07,1.01599099371617,0.195,0.031,0.0171166159640008
"EIF2",9.58811540557375e-07,0.719149837850873,0.195,0.031,0.0171167036220303
"AGP9",9.68129207089997e-07,0.602406849904025,0.244,0.046,0.0172830426049706
"ACLB-1",9.71805843177049e-07,1.97736894835621,0.122,0.012,0.0173486779123967
"XYL1",9.8760010579279e-07,0.491147696786137,0.171,0.024,0.0176306370886129
"AT3G09440",9.8760010579279e-07,1.12679236599606,0.171,0.024,0.0176306370886129
"PRP39",9.87603204389373e-07,1.10141954045934,0.171,0.024,0.0176306924047591
"SDH8",9.87603204389373e-07,0.394852271341356,0.171,0.024,0.0176306924047591
"AT1G15200",1.01941742040129e-06,1.86882840469062,0.122,0.012,0.0181986397890039
"Hop1",1.01942292335935e-06,1.81386494470375,0.122,0.012,0.0181987380278111
"SVB",1.01942292335935e-06,1.30886420084876,0.122,0.012,0.0181987380278111
"SPDS2",1.01942292335935e-06,1.70814926933691,0.122,0.012,0.0181987380278111
"SR34a",1.01942292335935e-06,1.35986049847736,0.122,0.012,0.0181987380278111
"GRF5.1",1.01942292335935e-06,1.92336661297009,0.122,0.012,0.0181987380278111
"EMB3012",1.01942292335935e-06,1.19601880518935,0.122,0.012,0.0181987380278111
"XRN2",1.01942292335935e-06,1.98676327840517,0.122,0.012,0.0181987380278111
